B80-2.fastq	B80-5.fastq	LF-5.fastq	B80-4.fastq	LF-6.fastq	B80-3.fastq	LF-2.fastq	LF-1.fastq	B80-1.fastq	LF-4.fastq	LF-3.fastq	B80-6.fastq
B80-2.fastq	0.0	0.077339513184	0.0830473997094	0.0653478002081	0.0772247024583	0.0732844061382	0.093393411443	0.0785565063298	0.0620115124678	0.0917252890483	0.0967717206825	0.0816447976296
B80-5.fastq	0.077339513184	0.0	0.105846378644	0.0926433904105	0.0930324367821	0.0989048159231	0.0837148920404	0.107285034911	0.0989283875363	0.117333655432	0.127307630404	0.0603894141726
LF-5.fastq	0.0830473997094	0.105846378644	0.0	0.0628169406496	0.0597187468877	0.106447426823	0.100987677291	0.08657157882	0.10530056588	0.0690809033762	0.085466761965	0.0995439278356
B80-4.fastq	0.0653478002081	0.0926433904105	0.0628169406496	0.0	0.0588372946073	0.0899990329457	0.096560989366	0.0770123402608	0.0790682756604	0.0677766551011	0.0808337087896	0.0878852875455
LF-6.fastq	0.0772247024583	0.0930324367821	0.0597187468877	0.0588372946073	0.0	0.093412285028	0.0817672513741	0.0822046840286	0.0903566098973	0.0691727731881	0.0829913423474	0.0809424303291
B80-3.fastq	0.0732844061382	0.0989048159231	0.106447426823	0.0899990329457	0.093412285028	0.0	0.0950470639715	0.101056607081	0.0733108595099	0.122294038586	0.133032852592	0.0877627419955
LF-2.fastq	0.093393411443	0.0837148920404	0.100987677291	0.096560989366	0.0817672513741	0.0950470639715	0.0	0.11062568232	0.109208831313	0.121411733091	0.136922553686	0.0610756861812
LF-1.fastq	0.0785565063298	0.107285034911	0.08657157882	0.0770123402608	0.0822046840286	0.101056607081	0.11062568232	0.0	0.0794868351346	0.0880912575556	0.0862798412043	0.102243801969
B80-1.fastq	0.0620115124678	0.0989283875363	0.10530056588	0.0790682756604	0.0903566098973	0.0733108595099	0.109208831313	0.0794868351346	0.0	0.106472435375	0.107599716678	0.0989706213444
LF-4.fastq	0.0917252890483	0.117333655432	0.0690809033762	0.0677766551011	0.0691727731881	0.122294038586	0.121411733091	0.0880912575556	0.106472435375	0.0	0.0646620791445	0.114793400254
LF-3.fastq	0.0967717206825	0.127307630404	0.085466761965	0.0808337087896	0.0829913423474	0.133032852592	0.136922553686	0.0862798412043	0.107599716678	0.0646620791445	0.0	0.130827416807
B80-6.fastq	0.0816447976296	0.0603894141726	0.0995439278356	0.0878852875455	0.0809424303291	0.0877627419955	0.0610756861812	0.102243801969	0.0989706213444	0.114793400254	0.130827416807	0.0
