B80-2.fastq	B80-5.fastq	LF-5.fastq	B80-4.fastq	LF-6.fastq	B80-3.fastq	LF-2.fastq	LF-1.fastq	B80-1.fastq	LF-4.fastq	LF-3.fastq	B80-6.fastq
OTU_57	6.1409	6.2376	4.3405	5.4892	4.6449	6.7297	5.7388	4.5788	7.6076	3.8046	2.8553	6.2186
OTU_18	8.2821	7.7943	7.1658	8.0472	7.4998	8.0504	8.5243	8.7104	8.1427	6.3056	6.8542	8.3565
OTU_242	9.4028	9.5093	8.8819	9.2746	8.7602	9.9382	9.1864	9.2702	9.5318	8.4902	8.0665	9.8373
OTU_22	7.5663	6.9248	8.2229	7.257	7.9004	7.4249	7.3487	9.244	8.8174	7.2797	7.2482	6.7409
OTU_40	8.1578	8.8771	7.6242	7.3799	7.44	7.6818	8.0564	7.6866	7.6392	6.978	7.6654	8.4647
OTU_730	3.2773	1.7663	1.3112	2.0389	0.64628	2.1346	1.1375	1.052	2.7848	1.0271	2.2619	2.0334
OTU_1	8.0305	7.6436	13.715	10.822	11.399	7.7458	10.906	13.375	8.8073	12.927	12.647	9.5162
OTU_324	4.3482	3.8289	3.41	3.1956	3.0115	4.0966	3.406	4.1258	3.487	3.1769	3.2335	3.9722
OTU_4343	0.48053	0.0	0.45457	0.0	0.35903	0.50986	0.48543	0.0	0.0	0.0	0.0	0.0
OTU_7	9.235	10.093	8.0543	7.8835	9.1443	9.9678	11.096	9.9254	9.1148	7.4859	7.9029	10.396
OTU_10	8.9879	9.6908	10.11	9.4675	9.7764	9.6765	10.404	9.1581	9.1402	9.2096	7.8665	10.336
OTU_96	6.0663	5.9032	3.1339	3.4217	5.7354	3.0368	4.6206	5.581	4.5954	1.6209	2.4164	6.3814
OTU_24	8.6895	8.6018	7.1917	7.5837	8.1802	8.8616	8.2602	8.5041	8.4792	8.3754	7.2223	9.4419
OTU_5	9.5659	9.9827	7.4241	8.8958	10.329	9.0161	11.724	10.034	10.45	7.1434	7.984	10.746
OTU_291	4.9375	5.1468	2.9386	3.979	3.5179	5.3065	4.8176	3.4618	3.9933	3.2574	3.8903	5.0653
OTU_20	8.7556	9.345	8.5918	7.9954	8.4992	8.4081	9.5034	8.8778	8.846	7.3433	7.6144	9.2755
OTU_60	6.8184	7.3779	7.4147	7.7176	6.9761	7.2946	6.7522	5.9993	6.6548	6.653	6.1154	7.4353
OTU_192	6.0405	6.4308	5.9131	5.8122	5.5564	5.1773	5.8022	5.8372	5.3459	5.0744	5.3904	5.5312
OTU_55	7.2958	6.9104	4.7107	5.4513	5.9351	6.357	4.9165	6.9172	7.3472	3.296	2.4164	7.2571
OTU_548	2.419	1.1381	2.9386	2.5975	1.9357	2.1346	1.1375	2.7494	0.0	2.1287	3.3532	2.1636
OTU_414	3.4438	4.249	4.0492	2.9992	3.1557	2.9602	2.9635	2.6706	2.7002	3.5083	2.8553	4.1398
OTU_497	2.419	3.2337	0.45457	0.47368	1.825	2.7028	2.2016	1.6538	3.7622	1.2	0.85874	1.7313
OTU_128	4.4818	3.7877	5.8216	5.3029	5.2908	4.3274	4.278	5.9667	4.0962	5.8536	5.4272	4.5738
OTU_116	7.2812	7.4753	4.6693	7.604	5.6241	7.8369	6.4296	4.742	9.7283	4.4086	3.6927	8.6497
OTU_46	7.2812	6.9437	6.2231	5.9815	6.1047	6.5057	6.2441	6.7498	7.193	5.8209	6.6551	6.2111
OTU_103	4.8998	5.9319	3.7249	2.5975	5.0037	4.2966	5.6496	7.7015	5.1682	2.689	2.7429	3.5161
OTU_28	7.3422	7.7786	6.7405	7.4263	7.2996	7.0067	7.5774	7.9472	7.1297	6.2721	6.5337	8.0484
OTU_216	5.8657	6.0499	5.9739	6.133	5.5124	4.9188	5.3001	6.093	5.0363	5.9045	6.25	5.5069
OTU_175	4.8213	4.574	3.3058	4.4067	4.1433	4.416	3.406	4.37	5.3871	3.8828	4.4335	3.8225
OTU_4288	1.3679	1.1381	1.078	1.3531	1.4305	1.1838	1.926	1.052	1.3624	1.0271	1.3934	1.7313
OTU_185	4.6273	5.531	5.005	5.2742	4.6449	4.8778	4.5729	5.634	4.3396	5.1073	5.1799	5.0145
OTU_69	5.436	6.0844	6.9878	6.1568	6.4829	5.5081	5.2403	4.8886	4.5954	6.1297	6.3636	5.7543
OTU_21	8.907	9.2805	7.7412	8.3974	7.9474	8.9259	8.5736	7.5773	8.468	7.3318	8.2016	9.1815
OTU_43	7.8246	9.0635	7.5941	7.9233	7.4702	7.4977	7.5561	6.5604	6.5975	7.3177	7.924	8.092
OTU_295	5.586	4.598	5.2493	5.514	5.352	5.291	4.5236	5.8191	5.7021	5.0855	6.1378	4.907
OTU_884	2.3082	1.3792	0.7997	1.7363	1.4305	1.6413	0.48543	2.4042	1.5675	1.0271	1.892	1.5526
OTU_25	7.9005	7.7222	6.0075	6.2183	6.601	8.1289	8.1689	7.9472	7.9817	5.0407	5.5068	8.2469
OTU_13	7.9475	8.7858	7.9305	7.6212	8.4323	9.647	9.3763	9.0218	9.0361	8.4766	7.987	9.951
OTU_33	5.9512	5.5921	5.5749	8.456	6.288	6.9083	6.6525	6.6659	8.2264	5.7874	4.7273	7.2571
OTU_835	1.7534	2.0713	1.078	1.3531	1.7051	1.6413	1.3785	0.0	1.1232	1.7378	1.2362	1.1111
OTU_307	3.7282	3.171	2.2338	3.2556	3.6209	3.5876	3.4594	3.7186	3.7622	2.365	4.0641	2.9929
OTU_73	6.3719	6.1751	6.7355	6.2407	6.5713	6.8352	6.6639	6.7305	6.2923	5.9657	6.6395	6.4847
OTU_419	2.0573	2.537	3.8035	2.7718	2.671	2.7028	1.926	2.1947	1.5675	2.4359	2.7429	2.0334
OTU_2855	1.3679	1.3792	1.078	0.82969	0.88573	1.1838	0.848	1.052	0.83637	0.83059	1.0598	0.0
OTU_104	5.5621	6.6479	2.7127	3.1331	2.3891	4.8356	4.3923	3.7186	4.6862	0.60307	2.2619	4.6646
OTU_1492	2.0573	1.9269	2.1155	1.8955	1.825	2.1346	2.0704	0.77868	1.5675	1.0271	2.2619	1.1111
OTU_465	1.7534	1.3792	2.792	2.6873	2.4649	2.7938	2.7225	3.0897	2.4116	1.6209	2.0888	2.5915
OTU_19	8.5443	8.9961	5.3834	7.0141	6.1853	8.5503	7.4077	6.0312	8.8896	5.4871	5.5822	8.7593
OTU_1439	1.1281	1.3792	1.078	2.0389	1.4305	0.0	0.848	1.6538	1.9067	1.2	0.85874	0.47165
OTU_146	5.4878	6.1671	5.1475	4.7979	4.9651	5.2753	5.3001	3.5079	4.161	4.5107	4.9205	5.6801
OTU_32	7.4731	6.8566	6.5597	6.8824	6.8928	7.2104	6.9045	7.1818	6.5975	6.2769	7.011	7.3002
OTU_322	4.0713	4.019	2.4448	2.5975	2.7336	4.0604	3.3505	1.6538	3.3822	1.6209	1.9937	4.1711
OTU_425	3.6395	3.407	3.41	3.8293	3.0115	3.9461	3.7004	3.7186	3.5367	3.475	3.5663	4.3731
OTU_58	6.6181	6.8764	6.0961	6.2701	5.6568	6.9134	6.5699	5.4921	6.2182	5.1396	4.7993	7.1668
OTU_79	6.6917	6.7956	6.2231	6.7943	6.4829	7.1297	6.6582	5.385	6.2258	5.4099	5.1906	7.6253
OTU_313	8.2655	8.5611	4.1729	6.8292	4.6611	7.7713	5.2854	4.2119	7.5269	3.1349	4.2808	8.5082
OTU_199	4.8611	4.9176	4.4175	3.7893	4.2964	3.7326	3.6554	3.638	3.8034	3.6933	4.24	3.8225
OTU_168	3.8118	4.2791	3.914	4.2086	3.6857	4.233	4.3363	4.5125	3.6762	3.5408	5.1136	3.3619
OTU_41	7.1904	6.6707	5.793	6.2407	5.9082	6.9876	5.4128	5.782	6.7839	6.1924	6.6706	5.6581
OTU_350	4.5564	4.9738	3.7647	4.268	4.3966	3.2446	4.4195	3.7573	4.223	4.0276	4.6358	4.4259
OTU_115	4.9743	5.696	4.4907	5.5262	4.4902	4.5526	7.1477	6.3102	5.1523	3.5726	2.6832	5.5786
OTU_204	3.1546	4.3085	3.3589	3.943	3.328	3.1094	3.0356	3.0278	2.8648	4.0044	3.391	4.3997
OTU_915	2.7079	3.1054	3.3058	2.6873	2.6055	1.4306	2.2016	2.8953	2.4116	3.6342	3.8089	2.4958
OTU_56	5.6668	6.2067	3.5072	5.2301	3.9192	6.14	5.479	2.8953	7.8771	1.8459	1.9937	6.9894
OTU_298	4.2911	3.7015	3.5072	3.4731	3.2444	2.7938	2.9635	3.5526	3.0126	3.2177	3.1479	2.4958
OTU_149	4.3482	4.0542	5.6932	4.8179	5.3914	4.701	4.6439	5.5261	4.0962	5.6964	5.4453	4.3459
OTU_114	4.4031	4.5247	5.1323	5.1691	4.6285	4.5263	4.5236	4.6422	4.223	4.8591	5.2119	3.9722
OTU_61	7.1628	6.9008	7.3342	7.2534	7.2469	6.9385	7.2269	7.6638	6.7262	6.8829	7.2963	7.1707
OTU_15	8.7277	9.5615	6.0322	7.9279	7.5155	9.134	8.7408	7.39	8.9641	5.9835	7.0291	8.9798
OTU_173	4.2316	3.4605	3.6417	4.1146	3.8072	3.6859	2.8074	4.7612	4.3113	3.7219	4.7124	2.921
OTU_45	6.4259	6.896	7.1089	6.9384	7.3176	6.3792	6.4162	5.2147	5.4272	6.8476	7.2788	6.0853
OTU_378	3.4438	3.4605	2.5397	3.0677	3.892	3.5358	3.406	4.6627	3.2092	2.6298	2.621	2.9929
OTU_4218	4.0018	4.1549	3.7647	2.9992	2.9601	4.2651	3.4594	3.0897	4.3673	2.6298	3.599	3.3066
OTU_131	5.2236	5.1949	4.2868	5.0556	5.1019	5.6489	5.7388	5.8641	5.5165	4.5749	4.8544	5.31
OTU_276	4.0713	3.407	2.4448	4.3251	0.88573	4.1664	1.585	1.9494	5.2598	2.2904	0.62508	2.9929
OTU_988	3.7706	3.1054	2.1155	3.1331	2.3092	3.5358	2.2016	1.6538	4.3396	2.4359	2.556	2.0334
OTU_2038	3.4438	3.171	4.1729	4.0484	3.407	2.7028	2.8074	3.3139	3.0126	4.0728	4.0641	3.3066
OTU_469	4.3199	3.0366	3.0067	3.3131	3.0612	3.9461	2.9635	3.3139	4.2825	3.2574	2.7429	3.4665
OTU_615	1.3679	1.1381	2.5397	1.7363	2.1345	1.9882	1.1375	1.8092	0.47796	2.2118	2.2619	0.82651
OTU_52	7.9148	8.538	7.7058	7.7308	7.7227	7.8817	7.3452	6.6194	7.5361	7.0334	7.5174	8.5638
OTU_343	3.7282	3.3515	1.078	2.0389	0.88573	5.1941	0.48543	0.44125	4.7296	0.33282	0.85874	1.8902
OTU_879	2.6178	1.7663	2.5397	1.8955	2.3092	1.9882	1.1375	3.0278	2.4116	2.0404	3.009	1.5526
OTU_152	5.9232	5.1468	3.3589	4.8953	2.9601	5.4672	5.7814	3.795	6.3766	3.0916	3.3532	4.5018
OTU_202	5.4878	5.5434	3.3058	5.3311	3.9192	5.7771	5.3434	2.4042	5.5041	3.475	1.9937	6.3199
OTU_75	6.5406	6.3692	5.7035	6.3953	5.8027	6.4226	6.0917	6.4107	6.1874	5.4011	5.2013	6.4847
OTU_508	2.419	2.4339	3.0067	3.1331	2.6055	2.1346	1.926	2.8953	1.5675	3.001	2.9595	2.4958
OTU_4297	0.84037	0.84851	0.45457	0.0	0.0	0.50986	0.0	0.77868	0.0	0.33282	0.62508	0.47165
OTU_2886	0.84037	0.84851	0.45457	0.0	0.0	0.0	0.848	0.44125	0.47796	0.33282	0.0	0.82651
OTU_429	3.0205	2.4339	1.6881	3.0677	1.9357	2.7028	2.5361	2.4985	3.1466	1.2	1.7826	3.249
OTU_200	5.9043	5.1468	5.3045	5.5858	5.4107	5.821	4.8379	5.8372	6.3139	5.3469	6.1266	5.2526
OTU_34	6.5829	5.3587	6.6153	6.8193	6.9499	6.0037	4.2172	5.8282	7.2084	7.3177	7.4608	5.0486
OTU_42	6.6582	7.0737	6.4721	6.2481	6.5926	7.4944	7.0682	6.4643	6.7474	6.0415	6.8096	7.2388
OTU_27	7.6253	7.9773	7.8928	7.2643	6.9565	7.8423	6.2211	6.3676	7.2046	7.1031	6.7417	7.5558
OTU_84	6.5034	5.8033	4.143	4.178	5.3718	6.4508	5.6264	6.181	6.5619	3.908	4.9205	5.5069
OTU_325	3.3904	3.4605	2.3431	3.3131	2.537	3.3682	2.8074	2.1947	2.7002	2.4359	2.1779	3.3619
OTU_4196	0.48053	0.84851	0.45457	0.0	0.0	0.0	0.0	0.0	0.0	0.33282	0.0	0.0
OTU_274	3.7282	2.9645	4.0812	3.3684	4.1433	3.1094	3.5607	3.7573	3.6312	4.0948	4.4152	2.9929
OTU_2484	3.2773	3.171	2.3431	4.5808	3.1092	3.3077	3.5607	3.4618	2.9406	2.2904	1.5351	3.7825
OTU_36	7.3631	7.0213	6.3595	6.4282	6.9598	7.3062	7.5094	7.924	8.1205	5.8856	6.5835	7.0663
OTU_195	6.2868	6.6651	5.9739	6.3616	5.1827	6.1658	6.1819	6.0854	5.8568	4.8591	4.7124	6.4404
OTU_4	6.2195	5.8033	12.113	8.9925	9.5051	7.4142	8.8015	11.315	6.8093	10.921	10.78	7.8857
OTU_179	5.513	5.1304	4.5827	3.943	3.7477	4.8569	4.3074	4.6003	5.3035	3.5726	4.742	4.8501
OTU_190	4.9923	5.6848	5.4823	5.5262	4.8983	4.5526	4.797	5.3219	3.7622	5.3922	5.4542	5.0145
OTU_290	3.8519	3.2938	2.8672	3.0677	2.3891	3.482	3.2928	2.4042	4.6415	1.2	1.7826	3.8614
OTU_97	6.0143	6.5278	3.949	3.5228	3.836	5.0166	4.2479	4.3192	4.8718	3.5083	3.2745	4.8693
OTU_1292	3.9657	4.9366	3.9832	4.1467	4.0965	4.233	4.4725	4.3948	4.1924	3.5408	3.752	4.6424
OTU_474	3.545	2.6332	0.0	2.6873	1.2707	3.0368	3.1043	1.052	3.6312	1.7378	1.0598	1.8902
OTU_233	5.7956	6.4833	5.4703	5.643	5.7354	5.3964	5.9402	5.9248	5.6353	5.0061	5.4542	5.992
OTU_1247	1.7534	1.9269	1.078	1.3531	1.5743	2.1346	0.0	1.2816	1.747	1.3544	1.6641	1.1111
OTU_722	2.7926	1.9269	0.7997	1.115	0.88573	1.9882	1.585	1.4797	2.6102	1.3544	1.0598	1.8902
OTU_105	5.7749	6.6479	5.2772	5.5262	5.8877	4.8569	6.5392	5.4573	5.3319	6.0012	5.9607	6.1417
OTU_1414	1.1281	1.3792	2.1155	1.3531	0.88573	0.0	0.848	1.2816	1.747	2.2904	1.6641	1.1111
OTU_81	5.4095	5.696	5.8863	5.4123	5.7277	5.1773	5.843	5.6443	5.1523	5.4703	3.8089	5.392
OTU_655	2.7079	2.537	3.8781	2.9992	3.0612	1.6413	2.5361	3.3649	1.3624	2.8535	2.9084	2.5915
OTU_302	2.7079	2.6332	3.8035	3.0677	3.368	3.8644	3.406	4.0024	2.4116	3.0916	3.752	2.8454
OTU_48	7.394	6.191	3.6839	4.8377	3.328	6.7354	3.4594	4.1258	8.2359	2.746	3.9922	5.392
OTU_203	5.7326	5.6736	5.744	5.698	5.8529	5.7085	6.1739	5.099	5.4789	5.3652	4.742	5.815
OTU_108	5.8261	5.2261	3.3589	4.757	3.2868	5.661	5.479	4.5571	6.3491	3.047	2.9595	3.3066
OTU_284	3.7706	2.8885	2.8672	2.8517	3.5874	2.8794	1.926	3.0278	3.5367	4.1799	4.1765	2.5915
OTU_77	5.1452	5.874	5.6513	4.8953	4.8425	5.2107	5.9117	6.797	5.1201	4.0503	5.2119	5.0316
OTU_126	4.8611	5.7614	4.6481	5.4513	4.3373	4.9975	4.7115	3.9698	5.1201	3.3703	2.8002	6.5457
OTU_695	2.6178	1.9269	1.5119	2.5018	2.2245	1.9882	0.48543	1.2816	1.5675	1.4938	1.2362	1.7313
OTU_380	3.2173	2.8885	3.1935	3.1331	2.9601	3.1094	2.8875	3.1491	2.0504	3.475	3.6927	2.3933
OTU_183	5.1452	4.3085	4.143	3.7058	3.717	5.4672	4.1538	4.6627	5.5165	2.6298	2.9084	5.1145
OTU_2296	3.9657	4.2183	3.41	4.7361	3.6537	4.4995	4.1538	3.4142	4.129	3.1769	3.1479	5.1463
OTU_159	4.9188	4.6904	4.6693	5.0724	4.6449	4.7699	4.3363	3.8317	3.9203	4.7098	4.8544	4.1398
OTU_92	6.5649	6.8666	5.6724	5.4892	5.9082	5.7882	6.4822	5.3347	5.9605	5.0407	4.5041	6.7356
OTU_23	7.8594	7.7222	8.3248	9.6963	8.4992	8.5519	8.8361	8.9178	9.5233	7.488	7.1414	9.1564
OTU_283	4.4561	3.9829	3.0717	3.1331	3.1092	5.4252	2.7225	4.3192	5.0189	3.2574	3.1479	3.6991
OTU_50	6.2347	6.9056	4.9369	5.8613	5.352	5.9552	6.3327	6.3924	6.6091	3.2177	4.9205	7.0993
OTU_2966	2.0573	1.9269	2.1155	2.1692	1.825	2.1346	2.433	2.5871	2.5143	2.2904	2.8002	1.7313
OTU_2154	4.6949	5.3866	4.2022	4.0484	4.8425	4.3871	5.0444	5.0375	4.664	3.3703	2.8002	5.2958
OTU_310	4.1376	4.7126	5.2909	4.604	4.6771	4.4995	4.4463	4.1258	3.9572	4.2602	4.3008	4.3997
OTU_51	6.1409	5.8239	4.8469	6.1955	6.3342	8.222	7.3345	5.9077	7.0248	4.6954	6.3251	7.0327
OTU_296	3.4438	3.407	2.792	2.5975	3.0612	4.233	4.1859	1.8092	3.2092	2.2118	2.556	2.921
OTU_441	3.6395	3.1054	3.5535	3.5707	3.407	2.6057	2.8875	3.8317	3.8434	3.2574	4.0165	2.6812
OTU_4129	1.1281	0.48576	0.0	0.0	0.35903	0.0	0.0	0.0	0.83637	0.33282	0.0	0.47165
OTU_39	5.8948	6.896	7.5087	5.9087	6.9696	6.4717	5.6724	5.8462	5.2745	6.3522	7.1191	6.3199
OTU_161	6.2795	6.3122	3.0717	5.3991	4.693	4.5263	4.0531	3.5526	5.9143	3.5083	3.9674	4.5262
OTU_784	2.5218	1.9269	1.6881	2.3992	1.4305	2.1346	1.3785	1.9494	1.9067	1.0271	1.892	1.5526
OTU_72	5.2236	5.1949	5.6724	5.9636	5.7044	5.1257	5.3291	4.535	3.9572	5.5282	5.8015	4.9437
OTU_943	2.7079	2.3229	1.5119	1.8955	1.2707	2.2676	2.5361	1.4797	2.6102	2.365	1.3934	3.0613
OTU_66	7.1225	8.0683	6.4478	7.0141	7.1555	6.5779	7.5804	7.343	7.0719	6.6456	7.3949	7.3143
OTU_78	6.2647	6.5951	4.3666	4.2086	4.7993	5.8101	6.0747	6.4702	5.6123	2.9043	3.2745	6.2917
OTU_312	4.4298	4.4206	1.845	1.5574	1.2707	3.7326	2.6323	2.8953	3.8824	1.2	2.0888	3.3066
OTU_300	3.7706	3.869	3.949	3.4217	3.9721	3.6376	3.9819	3.9365	2.7848	3.1349	3.8089	4.1078
OTU_71	6.8434	7.3463	7.017	7.2199	7.067	6.6709	7.2649	6.9509	6.5377	6.2077	7.1497	7.1394
OTU_245	4.9743	4.5495	4.1124	3.3131	3.9192	5.0902	3.511	3.8317	5.0189	4.0503	4.5041	4.4259
OTU_102	5.9326	6.764	5.2066	5.2597	6.3741	4.3274	6.784	5.7631	5.4006	4.2406	6.3445	6.5516
OTU_215	4.7804	5.1304	3.5535	4.178	3.328	3.7326	4.4725	3.5079	4.7717	2.568	2.1779	3.5641
OTU_554	2.7079	2.7234	1.5119	0.47368	0.88573	1.8252	0.848	0.44125	1.3624	0.0	0.62508	2.1636
OTU_155	4.6273	5.4408	5.2066	5.245	4.7846	3.6376	4.4195	4.7029	3.487	5.3469	5.472	4.6424
OTU_803	1.5735	0.84851	2.2338	1.3531	2.2245	0.88582	1.7655	1.4797	0.47796	1.3544	2.621	0.47165
OTU_305	5.0277	4.7772	3.8035	3.8293	3.6209	3.9461	3.7442	4.683	5.6123	3.8572	4.5878	4.1398
OTU_70	4.9375	5.604	4.4667	7.1024	5.4391	4.9587	5.5298	7.3651	5.7237	5.6375	5.0203	6.3814
OTU_658	4.956	5.5801	5.3705	5.2886	4.6611	4.2966	4.8777	5.0531	4.7717	5.242	5.1471	4.8693
OTU_2058	2.5218	1.9269	1.9866	2.1692	2.0385	2.7028	2.3219	2.8953	1.9067	2.0404	1.7826	2.7656
OTU_2366	0.48053	0.0	0.0	0.0	0.64628	0.50986	0.48543	0.44125	0.47796	1.2	1.0598	0.47165
OTU_1246	2.9485	3.6564	3.0067	2.3992	1.9357	2.6057	2.9635	1.9494	3.3822	2.8007	1.0598	2.8454
OTU_3070	1.1281	1.1381	1.5119	1.5574	1.4305	0.88582	0.48543	1.2816	0.47796	1.4938	0.62508	1.7313
OTU_134	5.2538	4.9921	3.5535	5.7717	3.717	5.4109	3.406	3.638	5.4789	2.2118	3.1479	4.1398
OTU_47	7.1747	7.3249	8.0031	7.7413	7.5507	6.9185	6.9236	6.9043	6.5559	7.5945	7.4225	7.0112
OTU_2257	2.9485	2.6332	3.8035	3.4217	3.328	1.6413	2.0704	3.5526	3.1466	3.3336	3.009	2.4958
OTU_1556	1.1281	0.84851	1.845	0.0	0.0	0.0	0.0	0.77868	0.0	1.4938	1.3934	0.47165
OTU_542	4.2911	5.0801	4.143	4.9866	3.368	4.8778	2.7225	3.4142	4.7717	2.689	3.0568	4.6646
OTU_873	1.1281	1.7663	0.7997	2.2888	1.5743	0.50986	0.0	1.8092	2.0504	0.83059	1.9937	0.47165
OTU_277	4.9923	3.9829	5.221	5.1215	4.8983	4.233	4.7115	5.675	5.1523	5.5282	5.8965	4.3997
OTU_1074	1.3679	1.1381	1.3112	1.3531	1.2707	0.50986	0.0	1.052	0.47796	0.83059	1.7826	0.47165
OTU_1073	4.2617	4.0542	4.0166	3.7481	2.537	4.0604	3.2928	2.9631	3.6312	3.4409	3.3532	3.4151
OTU_1521	1.5735	1.5857	1.5119	1.5574	1.5743	1.1838	1.7655	1.8092	1.3624	1.6209	1.9937	1.7313
OTU_1753	1.1281	1.1381	1.3112	0.47368	0.88573	1.4306	0.0	0.77868	0.83637	1.4938	1.6641	1.5526
OTU_110	5.475	5.3302	5.4088	4.6494	5.1715	4.2001	5.5046	5.3973	4.3673	5.4447	5.4542	4.5738
OTU_85	5.3548	5.7929	2.2338	4.2086	5.565	4.4995	5.6837	6.093	5.766	1.4938	3.1913	5.0145
OTU_1151	3.2773	0.48576	0.45457	1.115	0.35903	1.6413	0.0	0.77868	0.0	0.33282	1.9937	0.47165
OTU_74	6.6638	6.6188	3.949	4.6716	5.3816	6.2645	4.5236	5.9831	7.7486	4.4435	5.3621	5.324
OTU_589	4.1696	2.9645	3.1339	2.0389	3.2444	4.9783	2.2016	3.5079	3.7622	3.047	2.6832	3.1891
OTU_1082	1.5735	1.5857	0.7997	1.5574	1.9357	0.50986	1.1375	1.2816	1.3624	1.3544	1.5351	2.283
OTU_383	4.2911	4.5247	3.1935	3.5707	3.1557	3.5876	3.7442	1.6538	3.6312	3.75	2.2619	4.2317
OTU_129	6.0143	5.7507	5.9824	5.5974	5.6405	5.8101	4.7334	5.7914	6.2182	5.76	6.4689	5.0983
OTU_1208	4.4031	4.6679	3.1935	3.9061	3.1557	3.9461	4.6439	4.1838	4.0284	2.1287	2.8002	5.162
OTU_87	5.9232	6.3122	4.6481	3.6622	4.3966	5.4109	5.2403	4.443	4.8523	4.3729	4.7565	5.1145
OTU_371	3.6395	3.7452	3.949	4.3251	4.2109	3.4263	2.433	4.2666	3.8824	4.8591	5.284	3.5161
OTU_763	1.9133	1.9269	1.845	1.5574	1.2707	0.88582	1.585	1.8092	0.83637	1.8459	1.2362	1.7313
OTU_89	5.4878	6.1263	6.0645	6.313	5.9014	5.1081	5.6264	5.9831	4.5954	6.4017	5.9856	5.7439
