B80-2.fastq	B80-5.fastq	LF-5.fastq	B80-4.fastq	LF-6.fastq	B80-3.fastq	LF-2.fastq	LF-1.fastq	B80-1.fastq	LF-4.fastq	LF-3.fastq	B80-6.fastq
OTU_3	11.574	12.004	10.798	11.737	11.18	12.581	12.115	11.875	12.382	10.622	9.2838	12.865
OTU_2	11.636	11.912	11.568	11.542	11.551	11.744	12.17	11.511	10.747	10.976	11.29	12.104
OTU_16	8.6602	9.2043	6.3132	6.7636	6.4224	9.7754	8.2974	6.9592	8.7213	6.0528	6.4377	10.168
OTU_370	4.6949	5.0801	2.2338	2.5975	3.0612	4.1664	3.6554	4.7988	4.3113	2.4359	2.1779	4.4769
OTU_1229	1.7534	1.7663	2.2338	0.82969	0.35903	1.1838	0.48543	1.8092	1.1232	0.0	1.0598	1.8902
OTU_705	3.0891	2.8083	3.0717	4.0484	3.2008	2.9602	2.8875	4.443	2.9406	3.4409	3.2745	3.6105
OTU_6	9.726	9.8859	10.044	9.4848	9.4767	9.9691	9.8583	9.6457	9.241	9.7764	9.7239	9.8464
OTU_186	5.2538	5.834	4.4907	3.943	4.7547	3.9852	5.5173	3.0897	4.0962	4.1591	4.7565	5.0819
OTU_1346	7.9952	8.0897	6.1422	7.4393	7.2442	9.4764	8.3619	7.09	8.8472	5.6673	6.6667	8.8211
OTU_130	5.6442	5.531	6.5078	5.6872	6.0066	5.5479	5.5546	5.7148	4.5477	6.2961	6.0637	5.4945
OTU_440	2.8727	2.4339	2.4448	2.2888	3.0115	2.3893	2.2016	1.9494	2.5143	2.365	3.0568	2.4958
OTU_506	3.8519	4.2791	4.143	4.1467	3.9192	3.6376	3.6088	2.9631	2.7002	4.0728	4.1765	3.6991
OTU_38	7.2478	7.4817	6.5653	6.4794	5.8946	6.8512	6.0312	6.5982	6.4626	5.5682	5.0677	6.8464
OTU_17	9.8097	10.015	7.7287	8.9341	8.6035	9.7192	8.9396	8.564	9.2825	7.4065	7.7072	9.5261
OTU_3561	2.1882	1.3792	2.3431	1.7363	2.0385	2.2676	1.585	1.6538	1.5675	1.6209	0.85874	2.1636
OTU_304	5.4095	5.2106	2.7127	4.5087	3.1092	5.0539	5.2705	2.8242	5.4916	3.0916	1.2362	5.6018
OTU_268	4.6273	3.5618	2.9386	3.5228	3.1092	5.0539	3.4594	4.0654	4.91	3.2177	3.8637	2.8454
OTU_340	3.9288	4.2183	2.4448	3.3684	3.6857	4.701	3.9069	2.0773	3.8434	2.9535	2.621	3.0613
OTU_119	5.396	5.7291	2.7127	3.1331	3.892	4.814	4.4725	5.0531	5.745	2.689	2.4164	5.4442
OTU_11	9.5083	9.8669	8.9276	8.679	9.2049	9.4451	9.958	8.3576	9.1895	7.9422	8.5252	9.7025
OTU_14	9.7821	9.3801	8.5876	9.5081	8.9478	9.8282	9.2682	9.7756	9.3544	8.2346	9.2603	9.6527
OTU_44	6.9671	5.4671	6.4417	5.7406	5.7044	7.0489	5.1619	5.385	7.7617	5.4274	5.3997	5.8541
OTU_3918	0.84037	0.84851	0.45457	0.0	0.35903	0.50986	0.48543	0.0	0.83637	0.0	0.34613	0.0
OTU_8	10.437	10.912	8.6985	9.9458	10.096	10.184	11.053	10.095	10.811	8.2943	8.3128	11.085
OTU_2446	3.8118	3.2337	2.792	3.7481	3.0612	5.4109	3.3505	3.4142	3.5367	2.2118	2.0888	3.7825
OTU_9	9.614	10.047	6.2373	9.3253	8.8549	10.68	9.4566	7.7835	10.285	7.7762	6.9866	9.6917
OTU_443	3.9657	4.1221	2.8672	3.5228	2.7336	3.7326	2.8875	3.1491	2.8648	2.2118	1.9937	3.1266
OTU_127	5.4095	6.0412	3.3058	5.2597	4.5437	6.3644	5.466	5.7536	5.9786	3.6342	4.1547	5.6581
OTU_247	3.4953	3.3515	4.5142	4.178	4.0965	3.4263	3.5607	3.4142	3.0126	3.957	4.0641	3.8993
OTU_12	9.2444	9.0461	8.541	9.4085	8.5458	11.187	8.1467	8.401	9.0425	8.4745	6.9554	9.4491
