OTUID	LF-1.fq	LF-6.fq	B80-1.fq	B80-4.fq	LF-2.fq	LF-3.fq	B80-5.fq	B80-6.fq	B80-2.fq	LF-4.fq	LF-5.fq	B80-3.fq
637184	7	8	6	12	7	10	10	9	9	11	6	2
931643	2027	1495	446	338	1684	424	488	789	376	1136	787	621
72153	254	266	137	221	193	283	205	238	217	200	135	251
1074016	93	48	12	109	36	18	7	94	7	58	29	16
143392	532	408	256	301	346	260	416	490	297	207	213	232
4357676	270	216	121	155	176	233	142	152	181	167	195	126
763535	52	65	129	37	178	8	49	74	45	1	16	23
343503	36	33	30	29	22	22	36	46	31	20	17	8
510591	101	206	139	137	137	204	271	294	201	141	162	158
806405	796	399	479	445	649	295	361	565	512	186	238	393
352422	94	88	53	88	59	151	94	61	77	117	81	52
548683	247	36	5	13	5	1	6	17	6	2	2	9
221130	1	0	0	0	0	0	0	1	1	0	0	37
769292	76	75	51	60	49	103	53	48	49	57	60	42
557756	62	78	87	117	87	85	123	110	122	119	81	119
1105814	31	24	24	17	10	42	17	21	33	21	24	14
131339	7	7	11	12	7	9	8	3	12	12	7	11
113915	192	115	106	115	157	65	99	145	144	47	63	100
573413	1779	1261	861	358	3769	539	1803	2255	984	410	418	1465
274632	9	17	5	11	12	5	5	15	17	7	11	11
254401	1811	1236	1216	1367	1099	1676	1189	1397	1615	799	723	1451
1049387	441	1237	2394	1216	1275	322	2024	1650	1509	610	148	2814
769222	2957	1152	111	572	522	2575	34	180	69	3349	4105	53
579303	22	16	48	23	7	16	2	1	3	32	7	6
2651351	3	3	17	1	17	9	22	21	23	2	3	6
699318	109	158	67	142	98	180	98	86	75	81	101	90
591647	1	0	0	0	0	0	0	0	0	1	0	0
553557	215	62	58	40	41	19	127	76	65	18	18	57
342790	39	48	14	41	23	65	52	23	22	60	44	20
592589	143	189	102	149	147	75	409	286	352	72	76	202
256272	2	5	0	1	1	4	2	2	1	4	3	0
4295043	347	174	337	106	404	80	277	373	293	71	94	340
2213383	239	82	177	173	85	90	144	201	178	128	71	145
4345857	8	19	72	18	32	20	24	27	30	14	15	38
1033018	100	118	262	239	187	75	84	132	63	51	97	80
4308303	228	14	47	78	65	2	39	38	15	1	0	23
153084	12	6	5	4	5	1	8	9	9	2	0	7
674655	142	72	60	47	35	18	113	197	95	23	11	95
290401	13	49	4	7	15	111	20	13	9	47	68	23
573545	24	66	71	38	61	29	52	74	52	20	14	86
1038987	13	12	4	4	3	14	7	9	6	12	16	3
114410	26	68	29	62	31	59	37	30	29	61	58	31
801268	8	9	7	3	2	12	15	3	11	13	4	6
266549	2	0	1	1	1	0	1	1	0	1	0	4
219282	89	109	53	79	80	118	66	68	62	91	64	51
537205	79	175	142	83	82	69	139	165	164	143	58	176
573135	179	124	218	95	110	203	192	105	241	110	110	128
1121270	24	26	13	14	23	34	21	23	20	22	29	16
4428924	129	113	23	42	40	78	30	35	25	110	117	28
1145091	1	0	1	0	2	3	0	0	2	3	2	0
252723	15	8	9	7	3	8	3	2	5	7	5	5
1736825	70	49	84	21	12	4	44	72	69	2	17	36
1144430	26	15	4	12	5	14	3	6	5	11	15	7
278226	205	86	170	53	170	39	141	221	169	29	44	172
2474239	106	142	106	50	136	125	152	137	104	95	94	143
339660	86	48	51	39	28	24	47	67	45	29	47	43
295725	4	3	1	1	0	5	0	2	2	1	2	2
945478	339	333	208	257	236	363	230	345	381	236	199	290
1132655	9	33	13	14	36	32	62	24	33	22	16	9
577068	6	9	3	9	8	9	5	6	7	16	7	4
828667	110	161	187	126	75	278	193	86	282	203	109	212
837424	16	8	10	0	1	6	2	2	0	4	1	14
677064	621	26	81	6	95	18	30	25	12	27	83	27
584177	445	401	1556	479	895	101	1171	2450	778	323	209	1268
551647	55	223	38	136	66	237	127	88	87	195	260	72
696234	273	296	153	301	281	161	831	576	564	131	133	464
589483	54	22	31	17	24	1	41	49	42	16	11	39
4471709	41	69	29	30	55	22	45	36	40	53	54	28
854930	167	51	51	66	241	15	73	82	48	27	33	34
104646	8	5	4	4	9	7	10	5	7	2	1	10
341698	404	426	284	284	419	542	562	345	282	336	202	191
238205	1	0	0	0	0	0	0	0	0	0	0	1
3025389	161	109	206	51	37	8	163	203	209	21	34	85
4434837	340	94	82	242	80	52	88	181	48	141	28	48
3329863	23	12	13	10	4	23	8	8	4	18	5	3
589574	10	32	1	17	32	44	20	33	17	33	29	20
221674	9	2	1	0	0	0	1	0	3	3	1	2
581099	1	1	0	0	0	1	0	0	0	2	0	1
809485	55	80	21	84	37	86	66	45	42	64	92	48
575562	23	35	62	92	32	21	77	114	53	32	32	105
969805	105	70	149	46	53	92	61	69	106	57	47	114
512542	19	31	23	26	11	54	15	17	19	36	33	23
992510	147	122	105	28	333	65	189	257	91	38	44	158
321764	1	0	0	0	0	0	0	0	0	0	0	0
246952	245	327	175	135	285	90	275	284	165	104	125	150
1125832	99	126	41	18	41	12	114	143	115	6	14	13
526994	4	3	1	3	0	1	3	2	2	6	6	0
343284	76	55	95	170	49	21	120	143	109	45	50	128
593908	6	1	1	3	5	7	1	1	2	0	4	4
3800917	130	92	110	97	84	52	212	144	193	85	123	102
