KO	R^2	PearsonCorr	PearsonPval	SpearmanCorr	SpearmanPval	MeanAbsDiff	StdAbsDiff
ko00430	0.812143384606	0.989017093325	1.23557941721e-09	0.923076923077	1.86219510987e-05	0.230861676343	0.192185944362
ko00440	0.902943108201	0.999058620626	5.8128944892e-15	1.0	0.0	0.356091592563	0.0517248063262
ko00450	0.841150753224	0.997659322568	5.51141872545e-13	0.986013986014	4.11689591165e-09	0.391477467574	0.376233868121
ko00460	0.805033745513	0.996759786078	2.79751347678e-12	1.0	0.0	0.311970104035	0.282076512787
ko00471	-1.39826118245	0.890523201227	0.000102784104933	0.923076923077	1.86219510987e-05	0.154191784882	0.0494865649739
ko00472	0.922981454545	0.998973410046	8.9638049116e-15	0.993006993007	1.30167305606e-10	0.0394327225494	0.00721725262499
ko00473	0.765750925035	0.998751996295	2.37917498938e-14	0.993006993007	1.30167305606e-10	0.157072730434	0.0905633137468
ko00480	0.872475969607	0.997731628816	4.71171007151e-13	0.993006993007	1.30167305606e-10	0.85207827749	0.7516189797
ko00520	0.187863727779	0.973312596785	1.0194510739e-07	0.972027972028	1.28681157515e-07	1.9696107011	1.16256992576
ko00521	-2.31158539509	0.566010284958	0.0550640484911	0.559440559441	0.0585894753886	0.63203526086	0.322556485518
ko00531	0.875860766367	0.994008083212	6.02195324831e-11	0.993006993007	1.30167305606e-10	0.151136561176	0.0519955470332
ko00540	0.81210102198	0.997828018925	3.79278271878e-13	0.993006993007	1.30167305606e-10	0.866362607516	0.321721992558
ko00550	0.458096783595	0.989396033834	1.03729260905e-09	0.993006993007	1.30167305606e-10	0.564347149963	0.262151279541
ko00561	0.355657559217	0.987514450535	2.34007602086e-09	0.993006993007	1.30167305606e-10	0.639210139087	0.398580402091
ko00562	0.925368010132	0.997335383853	1.053159492e-12	0.965034965035	3.88098529963e-07	0.305506906116	0.237128649366
ko00564	0.894257003265	0.997630815905	5.85502774915e-13	0.986013986014	4.11689591165e-09	0.638698130417	0.339502570079
ko00591	0.870252339626	0.997835857033	3.72488779626e-13	0.986013986014	4.11689591165e-09	0.236413976927	0.080632656965
ko00592	0.799462332315	0.98663287841	3.28654741388e-09	0.937062937063	6.99316495321e-06	0.0801841027773	0.0680656459984
ko00620	0.767359258379	0.99531244733	1.76841979978e-11	0.986013986014	4.11689591165e-09	1.68635546828	1.20743153182
ko00621	0.931805624966	0.995558747579	1.35070479319e-11	0.986013986014	4.11689591165e-09	0.226289017707	0.150166486551
ko00622	0.925207031254	0.994602016306	3.57682087133e-11	0.986013986014	4.11689591165e-09	0.308974054585	0.160467125694
ko00623	0.941669405887	0.998394189331	8.38609112105e-14	0.986013986014	4.11689591165e-09	0.334604273986	0.197153905674
ko00624	0.535532907414	0.980984422927	1.89663654378e-08	0.972027972028	1.28681157515e-07	0.464678709998	0.18281608329
ko00625	0.817794380167	0.996305118286	5.38985314446e-12	0.986013986014	4.11689591165e-09	0.737556344296	0.506104187004
ko00626	0.421883304038	0.990066356573	7.49185823066e-10	0.937062937063	6.99316495321e-06	0.454304794237	0.219342085915
ko00627	0.913903768689	0.996211579051	6.10657335934e-12	0.993006993007	1.30167305606e-10	1.0468009649	0.865730450612
ko00630	0.895596483603	0.996463173954	4.33268681043e-12	0.993006993007	1.30167305606e-10	1.73297325242	1.07218314896
ko00633	0.898326128082	0.99121172401	4.06815192492e-10	1.0	0.0	0.168585593994	0.0778545026027
ko00640	0.931482468779	0.997797890424	4.0630351584e-13	0.979020979021	3.08980139855e-08	1.51662493287	1.34322855403
ko00642	0.93077255206	0.997988853622	2.5823356677e-13	0.979020979021	3.08980139855e-08	0.188871865943	0.172751007802
ko00643	0.926011075932	0.997495952708	7.72057846984e-13	0.979020979021	3.08980139855e-08	0.256337494366	0.171207376238
ko00650	0.930387483681	0.997736816193	4.65812184398e-13	0.972027972028	1.28681157515e-07	1.81612021603	1.28940912861
ko00660	0.839034451464	0.998329768164	1.02076321511e-13	0.986013986014	4.11689591165e-09	0.416454483829	0.289665039009
ko00670	0.790326486502	0.997742392525	4.60106025032e-13	0.986013986014	4.11689591165e-09	0.498519543458	0.36784796983
ko00680	0.0637250792749	0.931025887052	1.09418319241e-05	0.944055944056	3.92726108097e-06	1.65902510247	0.892284614212
ko00720	0.924600900305	0.998101128931	1.93799657294e-13	1.0	0.0	1.17157361203	0.806983806958
ko00740	0.491447449804	0.994221616879	5.02452586437e-11	0.986013986014	4.11689591165e-09	0.462484596152	0.451900824561
ko00750	0.61292419722	0.995055994079	2.30708453894e-11	0.937062937063	6.99316495321e-06	0.318710490955	0.237779572565
ko00760	0.603580816627	0.996417658367	4.61839216868e-12	0.93006993007	1.17022279287e-05	0.772634515365	0.489575657877
ko00770	0.311303335033	0.990768961744	5.19768428164e-10	0.986013986014	4.11689591165e-09	0.893235793067	0.608175856467
ko00780	0.742194659102	0.992127772242	2.34980675394e-10	0.951048951049	2.03842463247e-06	0.635909527764	0.430424137761
ko00790	0.658312944589	0.996843710665	2.45385348704e-12	0.993006993007	1.30167305606e-10	0.866558624621	0.634214807259
ko00900	0.52575281237	0.981681162921	1.57555654032e-08	0.965034965035	3.88098529963e-07	0.659645012696	0.607905857986
ko00903	0.906572965344	0.99728260553	1.16157181244e-12	0.986013986014	4.11689591165e-09	0.836154183773	0.61460478642
ko00910	0.921526879055	0.997896163995	3.2343466262e-13	0.993006993007	1.30167305606e-10	1.83060142874	0.647223607585
ko00920	0.678907823403	0.98736337581	2.4844893586e-09	0.986013986014	4.11689591165e-09	0.7123615114	0.637399771676
ko00930	0.943739188339	0.99805650624	2.17650187868e-13	1.0	0.0	0.510080735195	0.455423214811
ko00944	0.933547366325	0.99836647828	9.13465982439e-14	0.993006993007	1.30167305606e-10	0.0117976892345	0.00451818259349
ko00960	0.72201554149	0.99557958746	1.31935684958e-11	0.944055944056	3.92726108097e-06	0.21064796221	0.120530500654
ko00980	0.786820968522	0.996469160183	4.29618735617e-12	0.979020979021	3.08980139855e-08	0.478045119893	0.434461161296
ko00982	0.838725812869	0.998175312164	1.58807948376e-13	0.979020979021	3.08980139855e-08	0.529002104968	0.432314607298
ko00983	0.881048939055	0.993631299028	8.16374504584e-11	0.972027972028	1.28681157515e-07	0.313111635065	0.28567498597
ko01040	0.767670710896	0.997672989487	5.35250641026e-13	0.965034965035	3.88098529963e-07	0.685492766191	0.345092888112
ko02010	-0.02792953437	0.971727545198	1.35672858125e-07	0.965034965035	3.88098529963e-07	6.13598222508	1.90839852841
ko02020	0.875633516251	0.996581340104	3.65640191609e-12	0.986013986014	4.11689591165e-09	4.50731287266	2.86330975133
ko02030	0.943476135952	0.99743554395	8.69700545287e-13	0.993006993007	1.30167305606e-10	1.51731850275	0.892536435454
ko02040	0.968999196513	0.997108971141	1.58277414499e-12	0.993006993007	1.30167305606e-10	1.18151194793	0.896340335519
ko02060	0.96347341647	0.997977295667	2.65734498688e-13	1.0	0.0	0.117730614714	0.0910402411794
ko03030	0.912033177696	0.99725210739	1.22817233523e-12	0.993006993007	1.30167305606e-10	0.222591828596	0.0601253615277
ko03060	0.885047090498	0.990808192924	5.08850424056e-10	0.923076923077	1.86219510987e-05	0.100356485304	0.0642699923702
ko03070	0.990005791351	0.997396424699	9.38028019555e-13	0.993006993007	1.30167305606e-10	0.473577675042	0.376788141144
ko03410	0.850292860438	0.997048837457	1.75419911924e-12	0.986013986014	4.11689591165e-09	0.548298479678	0.323375961472
ko03420	0.69158893862	0.995174853457	2.04318329906e-11	0.993006993007	1.30167305606e-10	0.34393615339	0.11300286522
ko03430	0.295038002665	0.991606447485	3.23515009888e-10	0.986013986014	4.11689591165e-09	0.422664264513	0.104586347
ko03440	0.365222025341	0.987844499021	2.04783991965e-09	0.993006993007	1.30167305606e-10	0.477875455687	0.136685701216
ko03450	0.870608416591	0.998470285111	6.57953898616e-14	0.993006993007	1.30167305606e-10	0.234703762117	0.0522532872467
ko04070	-0.540178447314	0.928114728468	1.33873298732e-05	0.951048951049	2.03842463247e-06	0.127720237043	0.0552791539803
ko04112	0.944078954132	0.996188314775	6.29614485925e-12	0.986013986014	4.11689591165e-09	0.290525947018	0.171029670127
ko04146	0.851364843744	0.992993973774	1.31380662423e-10	0.972027972028	1.28681157515e-07	0.452599851956	0.350543370362
ko04614	0.976317511916	0.996821071122	2.54303443339e-12	0.944055944056	3.92726108097e-06	0.022851618059	0.0111702548067
ko04964	0.166939674114	0.949216141331	2.44208554657e-06	0.916083916084	2.84280453485e-05	0.0740708696016	0.0284536269993
ko05134	0.942238531621	0.995587636239	1.30740651666e-11	0.986013986014	4.11689591165e-09	0.176448022231	0.0761535000567
ko05150	0.969719176703	0.994783301861	3.01612523751e-11	0.958041958042	9.54358182684e-07	0.016572229899	0.00986825266896
ko05204	0.868797128963	0.994884756329	2.73448816214e-11	0.993006993007	1.30167305606e-10	0.394943512314	0.286063151868
