KO	R^2	PearsonCorr	PearsonPval	SpearmanCorr	SpearmanPval	MeanAbsDiff	StdAbsDiff
ko00010	0.451753573257	0.981011445143	1.88328408194e-08	0.979020979021	3.08980139855e-08	1.52892161156	0.999971153864
ko00020	0.972140313869	0.997941789458	2.8987394895e-13	1.0	0.0	0.527738662023	0.263752910624
ko00030	0.293895767881	0.995025482674	2.37903707575e-11	0.986013986014	4.11689591165e-09	1.57086335894	0.775214322547
ko00040	0.865771584575	0.996358107679	5.01473684569e-12	0.972027972028	1.28681157515e-07	0.981057867025	0.539904622963
ko00052	0.737210985928	0.988303237671	1.69080521625e-09	0.972027972028	1.28681157515e-07	0.825594756225	0.519056150245
ko00053	0.87904669046	0.998277603989	1.19033306267e-13	0.993006993007	1.30167305606e-10	0.451865933883	0.261407537353
ko00061	0.772339402028	0.995931038033	8.72411169096e-12	1.0	0.0	0.911467716441	0.502550794139
ko00071	0.900420803496	0.996724765625	2.95182295831e-12	0.986013986014	4.11689591165e-09	1.46351044303	1.30260188811
ko00072	0.964763602386	0.998051469141	2.2048349552e-13	0.993006993007	1.30167305606e-10	0.3344925109	0.268976027312
ko00120	0.942520694631	0.997804949192	3.99837895068e-13	0.972027972028	1.28681157515e-07	0.0325924507465	0.0241177811244
ko00190	0.878976063142	0.994393112764	4.32311642489e-11	0.993006993007	1.30167305606e-10	0.653294892568	0.56654713524
ko00230	0.629035523569	0.996189565887	6.28583182614e-12	0.993006993007	1.30167305606e-10	2.63170151969	1.52765817285
ko00240	0.770274852458	0.996345205428	5.10408792526e-12	0.993006993007	1.30167305606e-10	1.07106146373	0.685820640523
ko00250	0.651501470682	0.995250527438	1.88815038489e-11	0.958041958042	9.54358182684e-07	1.44558568653	1.07021614952
ko00253	0.538391964263	0.996753765601	2.82357145929e-12	0.958041958042	9.54358182684e-07	0.27513568395	0.205573266006
ko00260	0.805770593984	0.996331265476	5.2020511684e-12	0.979020979021	3.08980139855e-08	1.63275743922	0.972537012017
ko00270	0.789687824782	0.995847823598	9.65209787432e-12	0.986013986014	4.11689591165e-09	0.997885711561	0.901914522852
ko00280	0.949547455822	0.997730786397	4.72045902194e-13	0.986013986014	4.11689591165e-09	1.44896892234	1.26446925081
ko00281	0.921477236289	0.997369103412	9.88244007884e-13	0.972027972028	1.28681157515e-07	0.857071828779	0.654750912691
ko00290	0.609882832009	0.995595994472	1.2950884723e-11	0.986013986014	4.11689591165e-09	0.874871893192	0.676022755654
ko00300	0.932216800034	0.996626464013	3.42163659613e-12	0.986013986014	4.11689591165e-09	0.318158050696	0.269094715689
ko00310	0.939850669981	0.997764951712	4.37589249546e-13	0.986013986014	4.11689591165e-09	0.84886014371	0.746528813081
ko00311	0.883514617963	0.996694459843	3.09078369789e-12	0.986013986014	4.11689591165e-09	0.163037754806	0.113161208133
ko00312	0.859482343218	0.99586978064	9.39992192855e-12	0.979020979021	3.08980139855e-08	0.104318937669	0.0778933357135
ko00330	0.627695617872	0.9953748735	1.65393298662e-11	0.986013986014	4.11689591165e-09	2.0173751549	1.53948844952
ko00340	0.745848429286	0.996851889825	2.42225651101e-12	0.986013986014	4.11689591165e-09	1.03502573823	0.781762083832
ko00350	0.647123093981	0.996847343232	2.43978006957e-12	0.986013986014	4.11689591165e-09	1.25987910088	0.533424667038
ko00351	0.550061675314	0.995918979835	8.85396960928e-12	0.979020979021	3.08980139855e-08	0.0225443122495	0.00365477962505
ko00360	0.918909544769	0.997109079478	1.58247789308e-12	0.993006993007	1.30167305606e-10	1.4304468668	0.921627671544
ko00361	0.898419216339	0.996516418771	4.01658624112e-12	0.986013986014	4.11689591165e-09	0.298135754459	0.280292181311
ko00362	0.94413057729	0.997464711349	8.21394204781e-13	0.986013986014	4.11689591165e-09	1.17367183566	1.04164194652
ko00363	0.685949625551	0.993204827753	1.12804916053e-10	0.986013986014	4.11689591165e-09	0.422891201336	0.141589561108
ko00364	0.826844191873	0.979906579328	2.49413484829e-08	0.972027972028	1.28681157515e-07	0.139526739259	0.137674000089
ko00380	0.931551711534	0.997690152903	5.15815115069e-13	0.986013986014	4.11689591165e-09	1.1322433768	0.980627376075
ko00400	0.64918573391	0.998444402171	7.155020644e-14	1.0	0.0	1.10367421465	0.901422769047
ko00401	0.845520199661	0.99734861172	1.02729959099e-12	1.0	0.0	0.177556890137	0.130042747646
ko00410	0.909900953684	0.996662932517	3.24084694816e-12	0.979020979021	3.08980139855e-08	0.942637012687	0.8707159706
