# /usr/local/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': 'OTU-KO_nometadata_nsti.txt', 'output_pref': 'fishtaco_out_no_inf', 'map_function_level': 'pathway', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'otu_table1285_norm.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': False, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': 'metagenome_predictions_MUSiCC_Normalized.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'break_mapping1.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
Function	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
ko00472	0.427595805577	0.173067491436	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00472
ko00473	2.52598245826	1.90099983405	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00473
ko00480	21.3720250906	16.2017271226	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00480
ko00520	31.1782593162	27.6461464583	2.08166599947	0.0373729883407	1.42744217462	0.0	0.0	1.0	1.0	ko00520
ko00521	9.00775167789	8.5253282984	2.08166599947	0.0373729883407	1.42744217462	0.0	0.0	1.0	1.0	ko00521
ko00531	1.37731207201	0.741833237747	2.08166599947	0.0373729883407	1.42744217462	0.0	0.0	1.0	1.0	ko00531
ko00540	11.0243359969	7.39211859258	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00540
ko00550	19.3131331199	17.9651693148	2.56205046088	0.0104056198689	1.9827320435	0.0	0.0	1.0	1.0	ko00550
ko00561	10.1399143466	8.61025321002	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00561
ko00562	7.45486454735	5.0939339738	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00562
ko00564	17.1808814639	13.4424853856	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00564
ko00591	2.40813182652	1.24674578335	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00591
ko00592	1.51097652272	1.13186170557	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00592
ko00620	38.3323259867	31.2727112343	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00620
ko00621	5.29156847346	3.61141689884	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00621
ko00622	6.28890537901	4.26517403757	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00622
ko00623	9.64116952968	6.9164879799	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00623
ko00624	5.00221593408	3.71909895498	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00624
ko00625	12.2703149161	8.84629782546	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00625
ko00626	5.70390084881	4.66699672164	2.56205046088	0.0104056198689	1.9827320435	0.0	0.0	1.0	1.0	ko00626
ko00627	20.3125205917	12.4936561801	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00627
ko00630	37.606021127	26.9689194402	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00630
ko00633	2.85792836388	1.83921260601	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00633
ko00640	37.2777051731	24.5593790714	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00640
ko00642	4.31321551146	2.75003031978	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00642
ko00643	4.61333372955	2.65181698159	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00643
ko00650	40.1796288421	26.2653444372	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00650
ko00660	9.75409491972	7.69119696491	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00660
ko00670	15.6399056361	13.4696468518	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00670
ko00680	27.5200841592	24.3385518661	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00680
ko00720	36.416102616	27.741781646	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00720
ko00740	11.6308138144	10.2206920617	2.56205046088	0.0104056198689	1.9827320435	0.0	0.0	1.0	1.0	ko00740
ko00750	5.49186455457	4.53502030934	2.56205046088	0.0104056198689	1.9827320435	0.0	0.0	1.0	1.0	ko00750
ko00760	13.1129837464	10.8874582819	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00760
ko00770	17.2586149998	15.2060522252	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00770
ko00780	14.1748752389	11.8393405266	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00780
ko00790	17.3519729021	14.41630088	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00790
ko00900	16.1850987544	14.0635833723	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00900
ko00903	14.1979270858	8.60223241866	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00903
ko00910	44.2590559256	32.3416915624	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00910
ko00920	14.3113445808	11.8502439114	2.08166599947	0.0373729883407	1.42744217462	0.0	0.0	1.0	1.0	ko00920
ko00930	11.0957975514	6.4564705701	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00930
ko00944	0.138625474613	0.0631024401666	2.56205046088	0.0104056198689	1.9827320435	0.0	0.0	1.0	1.0	ko00944
ko00960	3.87194370921	3.11604331094	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00960
ko00980	10.9352960426	8.796305604	2.40192230708	0.0163091718778	1.78756809034	0.0	0.0	1.0	1.0	ko00980
ko00982	11.2803617723	8.62327498072	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00982
ko00983	6.42557116176	4.57565271432	2.40192230708	0.0163091718778	1.78756809034	0.0	0.0	1.0	1.0	ko00983
ko01040	9.72672795835	7.15289156737	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko01040
ko02010	74.8244401365	64.7509592413	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko02010
ko02020	89.3349012372	64.3471474162	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko02020
ko02030	25.9467959181	13.9128846962	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko02030
ko02040	28.2968214324	14.5034438572	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko02040
ko02060	2.66563647968	1.38663548652	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko02060
ko03030	15.9059997961	14.6136456443	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko03030
ko03060	16.0653601097	15.5164999458	2.40192230708	0.0163091718778	1.78756809034	0.0	0.0	1.0	1.0	ko03060
ko03070	35.9005512738	25.4759850684	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko03070
ko03410	14.1779176956	11.4182846933	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko03410
ko03420	9.43153667659	8.31899036064	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko03420
ko03430	19.2379991784	18.3738228513	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko03430
ko03440	21.4218584049	20.399760773	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko03440
ko03450	2.23506476028	1.10935384185	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko03450
ko04070	3.50853017857	3.3284339637	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko04070
ko04112	18.9069793223	16.6422989792	2.56205046088	0.0104056198689	1.9827320435	0.0	0.0	1.0	1.0	ko04112
ko04146	9.92201546973	7.44219566189	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko04146
ko04614	0.545593268364	0.273345707651	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko04614
ko04964	0.865669412891	0.739184412782	2.24179415327	0.0249746792931	1.60250007996	0.0	0.0	1.0	1.0	ko04964
ko05134	7.44430533973	6.21152743296	2.56205046088	0.0104056198689	1.9827320435	0.0	0.0	1.0	1.0	ko05134
ko05150	0.385579071184	0.232295412174	2.24179415327	0.0249746792931	1.60250007996	0.0	0.0	1.0	1.0	ko05150
ko05204	9.47317192196	7.44989858287	2.24179415327	0.0249746792931	1.60250007996	0.0	0.0	1.0	1.0	ko05204
