KO	Global_Test_RSQR	Global_Test_Pearson	Global_Test_Spearman
ko00473	0.765750925035	0.998751996295	0.993006993007
ko00480	0.872475969607	0.997731628816	0.993006993007
ko00520	0.187863727779	0.973312596785	0.972027972028
ko00521	-2.31158539509	0.566010284958	0.559440559441
ko00531	0.875860766367	0.994008083212	0.993006993007
ko00540	0.81210102198	0.997828018925	0.993006993007
ko00550	0.458096783595	0.989396033834	0.993006993007
ko00561	0.355657559217	0.987514450535	0.993006993007
ko00562	0.925368010132	0.997335383853	0.965034965035
ko00564	0.894257003265	0.997630815905	0.986013986014
ko00591	0.870252339626	0.997835857033	0.986013986014
ko00592	0.799462332315	0.98663287841	0.937062937063
ko00620	0.767359258379	0.99531244733	0.986013986014
ko00621	0.931805624966	0.995558747579	0.986013986014
ko00622	0.925207031254	0.994602016306	0.986013986014
ko00623	0.941669405887	0.998394189331	0.986013986014
ko00624	0.535532907414	0.980984422927	0.972027972028
ko00625	0.817794380167	0.996305118286	0.986013986014
ko00626	0.421883304038	0.990066356573	0.937062937063
ko00627	0.913903768689	0.996211579051	0.993006993007
ko00630	0.895596483603	0.996463173954	0.993006993007
ko00633	0.898326128082	0.99121172401	1.0
ko00640	0.931482468779	0.997797890424	0.979020979021
ko00642	0.93077255206	0.997988853622	0.979020979021
ko00643	0.926011075932	0.997495952708	0.979020979021
ko00650	0.930387483681	0.997736816193	0.972027972028
ko00660	0.839034451464	0.998329768164	0.986013986014
ko00670	0.790326486502	0.997742392525	0.986013986014
ko00680	0.0637250792749	0.931025887052	0.944055944056
ko00720	0.924600900305	0.998101128931	1.0
ko00740	0.491447449804	0.994221616879	0.986013986014
ko00750	0.61292419722	0.995055994079	0.937062937063
ko00760	0.603580816627	0.996417658367	0.93006993007
ko00770	0.311303335033	0.990768961744	0.986013986014
ko00780	0.742194659102	0.992127772242	0.951048951049
ko00790	0.658312944589	0.996843710665	0.993006993007
ko00900	0.52575281237	0.981681162921	0.965034965035
ko00903	0.906572965344	0.99728260553	0.986013986014
ko00910	0.921526879055	0.997896163995	0.993006993007
ko00920	0.678907823403	0.98736337581	0.986013986014
ko00930	0.943739188339	0.99805650624	1.0
ko00944	0.933547366325	0.99836647828	0.993006993007
ko00960	0.72201554149	0.99557958746	0.944055944056
ko00980	0.786820968522	0.996469160183	0.979020979021
ko00982	0.838725812869	0.998175312164	0.979020979021
ko00983	0.881048939055	0.993631299028	0.972027972028
ko01040	0.767670710896	0.997672989487	0.965034965035
ko02010	-0.02792953437	0.971727545198	0.965034965035
ko02020	0.875633516251	0.996581340104	0.986013986014
ko02030	0.943476135952	0.99743554395	0.993006993007
ko02040	0.968999196513	0.997108971141	0.993006993007
ko02060	0.96347341647	0.997977295667	1.0
ko03030	0.912033177696	0.99725210739	0.993006993007
ko03060	0.885047090498	0.990808192924	0.923076923077
ko03070	0.990005791351	0.997396424699	0.993006993007
ko03410	0.850292860438	0.997048837457	0.986013986014
ko03420	0.69158893862	0.995174853457	0.993006993007
ko03430	0.295038002665	0.991606447485	0.986013986014
ko03440	0.365222025341	0.987844499021	0.993006993007
ko03450	0.870608416591	0.998470285111	0.993006993007
ko04070	-0.540178447314	0.928114728468	0.951048951049
ko04112	0.944078954132	0.996188314775	0.986013986014
ko04146	0.851364843744	0.992993973774	0.972027972028
ko04614	0.976317511916	0.996821071122	0.944055944056
ko04964	0.166939674114	0.949216141331	0.916083916084
ko05134	0.942238531621	0.995587636239	0.986013986014
ko05150	0.969719176703	0.994783301861	0.958041958042
ko05204	0.868797128963	0.994884756329	0.993006993007
