KO	Global_Test_RSQR	Global_Test_Pearson	Global_Test_Spearman
ko00010	0.451753573257	0.981011445143	0.979020979021
ko00020	0.972140313869	0.997941789458	1.0
ko00030	0.293895767881	0.995025482674	0.986013986014
ko00040	0.865771584575	0.996358107679	0.972027972028
ko00052	0.737210985928	0.988303237671	0.972027972028
ko00053	0.87904669046	0.998277603989	0.993006993007
ko00061	0.772339402028	0.995931038033	1.0
ko00071	0.900420803496	0.996724765625	0.986013986014
ko00072	0.964763602386	0.998051469141	0.993006993007
ko00120	0.942520694631	0.997804949192	0.972027972028
ko00190	0.878976063142	0.994393112764	0.993006993007
ko00230	0.629035523569	0.996189565887	0.993006993007
ko00240	0.770274852458	0.996345205428	0.993006993007
ko00250	0.651501470682	0.995250527438	0.958041958042
ko00253	0.538391964263	0.996753765601	0.958041958042
ko00260	0.805770593984	0.996331265476	0.979020979021
ko00270	0.789687824782	0.995847823598	0.986013986014
ko00280	0.949547455822	0.997730786397	0.986013986014
ko00281	0.921477236289	0.997369103412	0.972027972028
ko00290	0.609882832009	0.995595994472	0.986013986014
ko00300	0.932216800034	0.996626464013	0.986013986014
ko00310	0.939850669981	0.997764951712	0.986013986014
ko00311	0.883514617963	0.996694459843	0.986013986014
ko00312	0.859482343218	0.99586978064	0.979020979021
ko00330	0.627695617872	0.9953748735	0.986013986014
ko00340	0.745848429286	0.996851889825	0.986013986014
ko00350	0.647123093981	0.996847343232	0.986013986014
ko00351	0.550061675314	0.995918979835	0.979020979021
ko00360	0.918909544769	0.997109079478	0.993006993007
ko00361	0.898419216339	0.996516418771	0.986013986014
ko00362	0.94413057729	0.997464711349	0.986013986014
ko00363	0.685949625551	0.993204827753	0.986013986014
ko00364	0.826844191873	0.979906579328	0.972027972028
ko00380	0.931551711534	0.997690152903	0.986013986014
ko00400	0.64918573391	0.998444402171	1.0
ko00401	0.845520199661	0.99734861172	1.0
ko00410	0.909900953684	0.996662932517	0.979020979021
ko00430	0.812143384606	0.989017093325	0.923076923077
ko00440	0.902943108201	0.999058620626	1.0
ko00450	0.841150753224	0.997659322568	0.986013986014
ko00460	0.805033745513	0.996759786078	1.0
ko00471	-1.39826118245	0.890523201227	0.923076923077
ko00472	0.922981454545	0.998973410046	0.993006993007
