# /usr/local/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': 'OTU-KO_nometadata_nsti.txt', 'output_pref': 'fishtaco_out_no_inf', 'map_function_level': 'pathway', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'otu_table1285_norm.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': False, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': 'metagenome_predictions_MUSiCC_Normalized.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'break_mapping1.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
#DA functions:111 #Taxa:99 #Samples:12
99:ko03420 took 4.29336190224 seconds to run.
100:ko03430 took 4.30908703804 seconds to run.
101:ko03440 took 4.31658506393 seconds to run.
102:ko03450 took 4.32358407974 seconds to run.
103:ko04070 took 4.30106592178 seconds to run.
104:ko04112 took 4.29112410545 seconds to run.
105:ko04146 took 4.33276510239 seconds to run.
106:ko04614 took 4.31488704681 seconds to run.
107:ko04964 took 4.34803700447 seconds to run.
108:ko05134 took 4.30706310272 seconds to run.
109:ko05150 took 4.31533002853 seconds to run.
110:ko05204 took 4.28679394722 seconds to run.
----------------------------------------------
Program completed successfully with no errors.
----------------------------------------------
