Row.names	B8011	B8012	B8013	LF11	LF12	LF13	PC1	PC2	PC3	PC4	PC5	PC6	classification
1	(2R,3S)-2-hydroxy-3-isopropylbutanedioic acid	0	0	0	0.0332779894554403	0.0340003667667648	0.0338679996335722	0.074471425702008	0.00632939815740302	-0.00371470092780128	-0.00238137511743814	-0.00258232012491034	0.0258989636836791	others
2	1-Hexadecanol	0.00284260882915532	0.00109603262611346	0.00180984260834525	0.0119255064391061	0.00816963915813593	0.00932499450786766	0.0719367272116108	0.0317823676352372	0.0558477261252801	-0.0444019131399169	-0.0025152296351105	0.0153838190164588	alcohols
3	1-Monopalmitin	1.13723668032866	0.837453612529953	0.887046869604392	0.708598307378653	0.900353748360863	0.692528191377726	0.0706769100343979	-0.0168324493468076	-0.00901087024420106	0.103663321301461	-0.0268060486273944	0.0301503116601142	esters
4	1,2,4-Benzenetriol	0	0	0	0.0111751560827902	0.0100513983458242	0.0118596930120438	0.0739408631985087	0.0162274302071481	-0.00640670774067251	-0.0336174394506719	0.00617383737720873	0.0135388748233715	alcohols
5	2-amino-3-(4-hydroxyphenyl)propanoic acid 1	0.0525774615975477	0.0440094831271741	0.043846595081297	0	0	0	-0.0741361450074797	-0.0139230728076212	0.00277342252464128	0.0243855846679014	0.0218571704824831	-0.0193091629497166	others
6	2-Deoxy-D-galactose 2	0	0	0	0.0149103740703546	0.0124410569758863	0.0145574710069196	0.073777755400689	0.0187900681705643	0.00970546307753762	-0.0371062035029808	0.00616520791099118	0.00135753090835101	sugars
7	2-deoxy-D-glucose 2	0.000319085619788768	0.0162682148257105	0.0182099008251989	0.00810166927581767	0.00714516690111655	0.00598686863984968	0.0408025226204749	-0.167735619259022	0.0967445815766667	-0.0912180127561913	-0.0566075581742442	0.0304820244847534	sugars
8	2-Deoxyerythritol	4.28574484074116	4.64164340292672	4.89704254570032	3.86330522165445	3.58563251921383	3.38215017804946	0.0731271315820577	-0.0258803139237813	0.0479206805205865	-0.00669325182928899	-0.0104486819644925	0.0584868017894113	alcohols
9	2-Deoxytetronic acid	0.0148238942978557	0.0188422877855247	0.0227459713940054	0.00832533946425638	0.00877318403936137	0.00991863376193054	0.0525753454283991	-0.13404571294251	-0.0579168476637298	-0.105009850776737	-0.126497349090115	-0.0382226364384282	short chain carbon organic acids
10	2-Deoxyuridine	0	0	0	0.0089368984502434	0.00910587690755321	0.00753654135270031	0.0741274152276876	0.00103496977519983	0.024060712093251	0.0213886912750649	-0.010764904766778	-0.0167220031313738	others
11	2-hydroxypyridine	0.0342545191256253	0.0339449446227526	0.0357953369555594	0.00966953616051846	0.0115558666211519	0.0113718359204839	-0.0374745694338412	-0.182757686941047	-0.0934604149458497	0.0613563810678554	-0.0273681346705829	-0.0415007651919058	others
12	2-Indanone	0.347957607002518	0.302451345341928	0.278251833304049	0.099554254648192	0.160195595986168	0.0969916292097391	0.0212070234981478	-0.0974330554912867	-0.0262058110526092	0.291696918573886	0.0384516461613633	0.0685163673278199	others
13	2-ketoadipate 3	0	0	0	0.0152347874175733	0.0156815586562901	0.0148147530781986	0.0744788055402668	0.00443697036766284	0.00296338589236683	0.00525628481822193	-0.00508127454004041	-0.0262214118177813	esters
14	2-Ketovaleric acid 2	0.0337273206031019	0.0278732384482732	0.0285078427787592	0	0	0	-0.074179170419466	-0.0136329864334343	0.00259139230042686	0.0238743812549299	0.0120912006692313	0.0115282734963628	others
15	2-methylfumarate	0	0	0	0.0914539558272897	0.110321869395106	0.0897089434122685	0.0740219280679823	-0.00649089709830506	-0.00406478939329395	0.0367500612912184	-0.0132750964299892	0.0180191356815168	esters
16	2-Methylglutaric Acid	0.0183090817135723	0.0172161753178687	0.0202523679550779	0.0202937447597413	0.0156036737425582	0.0118398253632347	0.0661408718279617	-0.00628127159884033	0.1414925084051	0.0116348357074943	-0.0447902374872474	0.00156314646953525	short chain carbon organic acids
17	2-Monopalmitin	0.3225877276358	0.217057538980787	0.193552093342017	0.281452511196039	0.264998974641123	0.265934655606196	0.0738865196972204	0.025137068867988	0.0141981566834581	0.0116258890167562	0.0258098963153257	-0.00640632435361812	esters
18	2,2-Dimethylsuccinic Acid	0	0	0	0.00577379133719133	0.00505047443144886	0.00524666198991698	0.0741177556239403	0.0136904868545873	0.0195571122648737	-0.0186780829277525	0.000498983832672241	0.0121002023730285	short chain carbon organic acids
19	2,3-Dihydroxypyridine	0.0480701779880925	0.0364246665952109	0.0441477705659959	0.109702914550519	0.101239780377329	0.113630227775502	0.0741427425053244	0.014159550302791	-0.00351866336483832	-0.0260786895080309	-0.00406969286536602	0.00598447323915489	others
20	2,3-Dimethylsuccinic acid	0.157757855372077	0.274384685242637	0.273354763303078	0.0839379326663272	0.0959687030709503	0.104136208107402	0.0197862756861228	-0.20845130253496	-0.0546091173390755	-0.0990499917010439	0.0395438565010085	0.0717630770511211	short chain carbon organic acids
21	2,4-diaminobutyric acid 3	0	0	0	0.00967892196792336	0.0141998944185283	0.0169364808930617	0.0712996932702784	0.000199638540234584	-0.0902981279559987	-0.00806078823011215	0.00435320292742283	0.00917145947955967	others
22	2,4,6-Trihydroxybenzophenone	0	0	0	0.00335098142292038	0.00297711842631116	0.00359710237506519	0.0738140898142682	0.0173607517985217	-0.00793510050593796	-0.0375442118216033	0.00734927071226189	0.00840914430224419	others
23	3-(4-hydroxyphenyl)propionic acid	0.194060017140727	0.224447521574635	0.229866852531286	0.0507189085269005	0.0523662075453665	0.0457581743162321	-0.0604214033340835	-0.131410714303736	0.043735994090587	0.006706806295263	0.00604837968486619	-0.0936536025376354	others
