Row.names	B8011	B8012	B8013	LF11	LF12	LF13	B8021	B8022	B8023	LF21	LF22	LF23	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	classification
1	(2R)-2-amino-3-phosphonopropanoic acid 1	1.31288262714345e-11	1.0634691983621e-11	1.13264317871524e-11	4.20643006469433e-12	3.9072764529713e-12	4.32695548518102e-12	1.51331095952464e-11	1.9201734250375e-11	1.44821993900209e-11	0.00017104043440693	0.000168059439330514	0.000154895509055308	0.00748684777914577	-0.0960669540228014	0.080998013455299	-0.0163367594227432	0.0337066563134101	0.000702272968349912	-0.0320742131398249	0.00126273970620376	-0.0366692693693411	0.0111582549239472	0.0153981802611946	-0.0261322489433969	others
2	(2R,3S)-2-hydroxy-3-isopropylbutanedioic acid	1.31288262714345e-11	1.0634691983621e-11	1.13264317871524e-11	0.00033277989449981	0.000340003667615837	0.000338679996278569	1.51331095952464e-11	1.9201734250375e-11	1.44821993900209e-11	0.000272627068804379	0.000370308004877218	0.00025691951374946	0.0901620557965023	-0.0514460770765823	0.0222870518973234	-0.00430538392020903	-0.009837991806413	0.00139941833624756	0.0202919086449853	0.0140485445311165	-0.060400857621127	0.0381092289501753	0.1349135464001	-0.0107587630494783	others
3	1-Hexadecanol	2.84260882628167e-05	1.09603262521595e-05	1.80984260676683e-05	0.000119255064371497	8.169639156891e-05	9.32499450629406e-05	1.51331095952464e-11	1.9201734250375e-11	1.44821993900209e-11	0.000121888524629019	7.60627276352497e-05	0.000124247607195128	0.0813355913142379	-0.0499763477855185	0.0466879807559747	-0.0331388278174343	0.0127951479176221	-0.0536852247970755	-0.117199606524379	0.0188535343512697	0.0805680022056144	-0.00460815899974808	-0.193733145982558	-0.00762661871093383	alcohols
4	1-Monopalmitin	0.0113723667917901	0.00837453611844186	0.00887046868830767	0.00708598307262407	0.00900353748223663	0.00692528191260861	0.00816838974362326	0.0102610898971801	0.00808097828099859	0.00658251226624218	0.0056920702131892	0.00548518477646058	-0.0406369032215243	0.0847342251656129	-0.0319583236915651	-0.135524899451729	0.107442167307753	0.11766528349239	0.0638704567117835	0.172994044443939	0.0175030388764611	0.0898553802858627	0.017638478021852	0.096408136566836	esters
5	1,2,4-Benzenetriol	1.31288262714345e-11	1.0634691983621e-11	1.13264317871524e-11	0.000111751560809569	0.000100513983442925	0.000118596930100425	0.000200872931892587	0.000316507523731053	0.000325411501119317	0.000159852182570266	0.000236465514579404	0.000330077389648998	-0.0199167518309954	-0.0990281595576602	-0.0549738402747748	-0.00920444127466422	-0.10242785048327	0.0717754356980514	0.0652242663109178	0.0449588301927336	0.213673013220216	0.032659495212816	-0.0448012098054063	0.0159464396144735	alcohols
6	2-amino-3-(4-hydroxyphenyl)propanoic acid 1	0.000525774615443961	0.00044009483091136	0.000438465950430568	4.20643006469433e-12	3.9072764529713e-12	4.32695548518102e-12	0.000322399065835021	0.000397129758920299	0.000290508995087784	0.000281755734595937	0.000355873233981016	0.000271411500653888	-0.0907154041908866	0.0149165660773574	0.0577963779363737	-0.0418371502254536	-0.0262553522195619	0.0426241657816975	-0.0125559529733983	0.0389043750399262	-0.0239281491186449	0.0095051854704577	0.103216007188863	0.00744753381383172	others
7	2-Deoxy-D-galactose 2	1.31288262714345e-11	1.0634691983621e-11	1.13264317871524e-11	0.000149103740679086	0.000124410569739905	0.00014557471004463	1.51331095952464e-11	1.9201734250375e-11	1.44821993900209e-11	0.000261473784067228	0.000216744700291972	0.000242208251741143	0.0630834417789505	-0.0809772937745707	0.0536888914425487	-0.0143825650103731	0.0291547938973617	-0.00481924390146748	-0.0686548045433985	0.00066746035439299	-0.00784032071240196	-0.00879644032891782	-0.0669243969779284	0.00631002053844548	sugars
8	2-deoxy-D-glucose 2	3.19085619466198e-06	0.000162682148123889	0.000182099008093174	8.10166927448859e-05	7.14516690002774e-05	5.98686863883939e-05	1.51331095952464e-11	1.9201734250375e-11	1.44821993900209e-11	4.0087481588496e-05	5.80560750307944e-05	6.00261874689085e-05	0.0183376686231053	0.0514661284057972	0.067608615164679	0.25173164816402	-0.0017979344998544	-0.0292651654526101	-0.0526401823521263	0.0809092380605983	0.00656266101120786	0.0592844890200099	0.00554809131166677	0.0193344605555967	sugars
9	2-Deoxyerythritol	0.0428574483640862	0.0464164339912581	0.0489704254142943	0.0386330522102068	0.0358563251866744	0.0338215017747871	0.0124201915599209	0.00908394171143725	0.0119255934879358	0.0152881605214148	0.0152050404657379	0.0148621411277657	0.0305181154153202	0.104349532012625	0.0491842746703429	0.0514854555495889	-0.00100659322360347	-0.0449693780539834	-0.0101371529478717	-0.0135474885454476	0.023540264689918	0.0321299494896775	-0.0016407700721106	0.0222010910665775	alcohols
10	2-Deoxytetronic acid	0.000148238942828699	0.000188422877700953	0.000227459713741678	8.3253394628906e-05	8.77318403802448e-05	9.91863376025676e-05	0.000165136078450303	0.000160736526902366	0.000114485537067757	0.00012891944201765	0.000136343052559994	0.00015917779438497	-0.0743162243086498	0.026699927424629	0.0562005342422567	0.119565992035377	-0.0888607122641153	0.0278988487065135	-0.0349164527669508	0.158842801453024	-0.163557856457745	0.0147667371530457	-0.202370261992175	-0.0705653185994885	short chain carbon organic acids
