	B8011	B8012	B8013	LF11	LF12	LF13	B8021	B8022	B8023	LF21	LF22	LF23	id
19	43704.368	88486.646	76144.912	1027917.75	1072666.78	983168.72	88845.153	64428.351	94314.209	227789.137	152099.067	179501.673	Analyte 19
20	0	0	0	91178.954	841.871	1458.349	0	0	0	0	0	0	Analyte 20
21	69833.488	75641.872	64025.104	0	0	0	78959.748	53686.114	69809.67	90918.082	60850.911	72310.498	Analyte 21
22	0	0	0	32878.117	59926.307	57688.175	0	0	0	0	0	0	Analyte 22
23	631513.725	536156.2235	440798.722	0	0	0	0	0	0	490645.475	538145.8195	585646.164	Analyte 23
24	0	0	0	0	0	0	6849.2175	6633.904	7064.531	0	0	0	Analyte 24
25	286806.809	176118.864	144219.755	262047.853	333180.53	282163.033	163858.53	97933.771	102216.566	365270.65	210466.619	263582.492	Analyte 25
26	0	0	0	2931934.35	3065864.56	2953106.01	0	0	0	0	0	0	Analyte 26
27	75457.1805	67830.606	83083.755	762160.976	869438.232	765176.901	61561.297	61369.244	82841.048	192124.349	140538.903	187485.672	Analyte 27
28	0	0	0	0	0	0	7198.798	9975.668	12208.454	40788.054	30828.907	39255.803	Analyte 28
29	0	0	0	0	0	0	28231.975	13707.898	20969.9365	0	0	0	Analyte 29
