id	B8011	B8012	B8013	LF11	LF12	LF13	B8021	B8022	B8023	LF21	LF22	LF23
pimelic acid	515.886	1244.983	1997.261	9997.201	11113.679					7013.578		
unknown				12170.443	17682.982	12003.433						
Analyte 313										93574.822	65901.783	78466.151
D-alanyl-D-alanine 2	19867.845			122276.004	128000.884	103563.172				56362.003	37401.052	40506.772
unknown		167132.383	173969.652	16382.947	17377.552	18178.236	19244.627	25470.303	26710.278	78093.316	50857.921	54863.668
Analyte 316	14559.713	14626.526	12122.898	14296.81	18332.865	16573.274		7825.134			6147.227	8135.871
unknown	16808.209						57971.375	9129.215	26260.235	21848.196		
unknown				13642.188	11254.756	18704.363						
unknown		7381.255	10473.737	133900.871	185426.772	161274.92	5210.939		6897.286	10712.667	8396.379	7544.164
Analyte 320	9884.987	16164.017	13077.175	30396.727	35185.159	35451.178			16392.001	17062.37		14633.907
beta-Glutamic acid 1	69992.038	99165.129	93452.881	82908.836	91412.358	77802.12	54553.452	39204.893	51268.558	55839.607	36697.864	37997.721
"trans,trans-Muconic acid"		42446.306	35544.899		74095.834	57875.256	57405.512	35310.807	44361.835	92830.776	51722.281	38396.637
Analyte 323				35542.394	36555.344							18394.752
Analyte 324				77410.477	78161.889	78790.114	24503.852	16748.023	23256.869	86305.447	48530.256	50267.127
unknown	4033.873	4421.967	5429.83	11194.693	7786.885	8056.004	6629.324	6702.687	11485.368	10409.33	6262.497	14926.963
unknown				17597.992	19026.529	13618.532						
Analyte 327	109256.164	117350.144	106932.663	35551.995	44914.061	22294.733	112745.372	81995.227	106224.48	71582.221	40821.726	45854.39
unknown		111015.612	122095.135		40978.731	39683.258	27500.795	17725.399	58215.287	56189.776	44441.722	54287.529
4-Hydroxybenzoic acid		28416.602	33552.099	53522.504	61242.13	65155.42				47968.79		37500.577
tartaric acid	88319.466	117040.361	107607.738	81508.055	93200.437	81196.633	24124.619	18665.052	28653.718	38185.456	21529.531	
unknown	699.202			30006.292	39194.287	41895.625			0	22.206	1257.668	
4-hydroxyphenylacetic acid						14147.684					6652.148	6205.163
Lyxose 1	151430.191	176890.993	160352.139	311549.174	312471.013	274100.742	84819.524	150340.454	80863.687	184497.376	108854.638	116321.564
Analyte 334	6630.882	7545.377	6427.083	24899.385	17474.021	19905.005	8189.392		9394.871	134120.6	112470.88	95085.136
pyrophosphate 3		16599.244	10800.344	13238.118	16111.867							
xylose 2	569170.774	690312.763	627909.126	736334.928	718318.909	661438.533	181342.812	64093.305	169764.601	263530.698	155243.68	165530.125
unknown	91537.015	90643.64	88453.87	171142.041	176059.63	143502.795				54234.413	36303.128	41006.282
lauric acid	64465.338	58275.666	54245.971	176431.753	202880.948	162687.583	31114.319	20164.908	31671.142	137624.771	105614.149	91906.518
Analyte 339	379944.914	445653.338	432712.931	464089.318	498669.713	364738.549	292252.013	225154.492	300982.856	261245.707	162129.515	167054.692
ribose	845195.704	964840.129	873773.867	1036795.32	1026947.1	840569.931	540646.661	421896.913	534679.547	700874.379	406697.636	408645.177
unknown					7328.165					24087.921	13916.324	8990.958
unknown				80073.872	74095.583	68598.523					20025.388	20056.886
Analyte 343	8564.055	13673.557		1427615.66	1130216.52	1167702.23	6552.363	3178.738	8956.799	436404.959	281867.623	205956.244
Analyte 344	18407.558	20910.428	31597.144					5052.316				
"Ribonic acid, gamma-lactone"				151583.126	128276.393		22164.277		22358.832	54083.992	33109.501	37490.66
Analyte 346				153281.713	157131.647	124483.604						
3-ureidopropionate 2		36763.835	45823.581	48259.078	60089.076							
unknown	28924.583		31129.296	62949.483	38144.869	57202.025	33310.684	27642.719		45975.627	41717.284	46326.841
Analyte 349		15679.421	17663.818						7689.874	10401.934		9298.075
unknown	8260.577		14474.052	10364.597						4852.552	1427.127	
unknown		12814.957		17027.121	14291.167							
unknown					22804.888					12026.924	10839.651	
cyclohexylsulfamic acid 1	16988.632	15963.854	15957.136	10465.752	12505.182		21070.112	16106.238	17890.442	30060.288	22328.159	20985.146
unknown					4091.91	3585.255				3411.4		
Analyte 355		140016.792	131024.197	181043.23	156432.506	130962.326	60797.714	61046.175	67566.646	136932.351	79221.982	96529.021
unknown				95861.273	97373.151				18751.049	36873.565	20825.175	21607.289
Levoglucosan	6736.385	7342.933	7343.115	67941.742	67884.961	7476.761	33375.697	22099.573	36948.281	46886.088	27938.173	39657.473
unknown				76245.812	72103.589	64066.552						
Analyte 359	24009.239	33637.306	35333.152	31959.768	36917.741	29880.029	9858.095		11232.976		12439.407	19543.571
Analyte 360	162822.436	372970.347	356348.736	46339.244	45066.957	37216.581	97209.466	81703.572	118866.355	117928.572	79641.87	78225.043
unknown		3916.142	6008.742						5741.402			
6-deoxy-D-glucose 1	55743.051		4984.032	115785.914	94169.076	75637.769	5148.752	5814.304		43496.765		
xylitol	325916.462	314936.077	300251.497	369377.558	328856.176	274943.171	1198914.56	857188.352	1098978.01	189145.718	107169.785	113719.742
IS	22623325.4	21819608.4	19192065	25996056.5	27912234.6	17678854.8	21904324.7	17260907.5	18892441.5	22495892.7	16282174.1	17263659.8
N-alpha-Acetyl-L-ornithine 3	84548.95	465322.054	453035.702	1724468.73	110879.311	2196327.61	354572.55	261610.264	455286.318	925848.847	730950.677	746421.249
glycocyamine 2	36998.561	50160.655	47967.928	61247.029	69983.396	56815.875	10730.033	9623.654	14212.84	31550.43	23898.263	24075.471
unknown	20028.926	25607.813	22878.099	169503.578	192706.717	134797.546	7451.881		10577.434	81564.272	55298.899	56166.736
3-hydroxy-L-proline 3	12092.096	14472.253	14780.343	86161.526	96900.64	73434.167				45032.151	30268.236	31381.26
Diglycerol 2	335879.52	383532.929	353467.238	693028.738	738418.42	566225.59	154902.086	113812.255	150876.457	187159.176	109461.945	113101.445
unknown	12127.863	12231.772	13974.691	40664.345	40029.868	31304.643			4485.809	31393.623	18798.787	21620.566
flavin adenine degrad product	149646.376	185647.787	150924.519	26242.494	44454.24	21076.605	71523.745	56244.537	63590.203	164852.539	106033.791	96020.602
unknown				15828.895	10076.587	17713.526						
(2R)-2-amino-3-phosphonopropanoic acid 1										26497.08	17281.43	16645.564
unknown		30173.279	34026.926	33493.619	48775.042	40624.217			21787.883			47262.918
fucose 2				26617.694	24904.841	25696.456						
Diglycerol 1	82569.049	91339.482	84397.392	147608.699	151694.416	122963.767	27818.411	13220.159	12791.505	40659.157	27218.992	30239.121
unknown				12102.775	18166.239	11004.527						
Analyte 378	13546.476	22564.778	21207.599	38971.004		20575.339						
Glucose-1-phosphate	241944.324	425465.888	220182.479	603924.321	1066932.54	767850.535	338467.584	264094.765	564480.636	769178.748	510986.163	633229.887
unknown		84927.622	84607.11		157960.917		33676.574		59651.586	67678.765		62438.072
unknown		911311.652	939988.908	289691.088	780070.177	476952.569	198045.545	177493.219	517313.109	427697.099	320339.082	437060.25
3-(4-hydroxyphenyl)propionic acid	147812.16	211052.207	202947.28	120574.71	134022.274	105751.433	62671.274	43204.975	71141.517	73908.39	51622.519	56509.461
Homovanillic acid	72939.07	256362.749	248660.159	108107.655	124104.315	102660.68	61912.399	50962.594	66161.948	103839.243	62309.496	64814.606
"3,6-Anhydro-D-galactose 4"	17015.339	30113	31609.392	68480.606	90716.536	65439.675	1569.782	2035.61		48342.876	33486.395	30494.398
unknown			5321.35	36345.535	18362.217	35555.999				26323.208	12974.927	10109.668
2-deoxy-D-glucose 2	243.042	15297.307	16077.35	19260.202	18286.822	13836.215			5297.932		5969.864	6450.605
2-Deoxy-D-galactose 2				35446.623	31840.739					40506.748	22287.7	26028.469
unknown	15210.538	18674.681	18484.919	26628.299	40567.16	29860.791	9291.008	5770.192		24951.582	19353.535	19023.285
unknown		10036.28	7079.063	8198.579						16852.88		12464.515
3-phosphoglycerate		19177.18	21593.498				108.67	344.028				
azelaic acid	461552.444	566138.958	535099.799	1822739.06	2080458.95	1632554.04	409220.057	304824.682	481429.254	1303898.66	830718.102	828052.738
thymidine 5'-monophosphate degr prod				128897.723	138274.416	141564.757						
terephthalic acid		24676.139	26464.762	87651.051	81131.291	68030.853						
unknown		24676.139						7831.498	8290.573	59148.234	37161.997	40381.988
Analyte 395	480118.817	3023163.81	3139282.47	3461755.45	4022645.11	3887974.53	1189361.41	1233959.13	1575529.69	20900238.9	13655531.5	14124708.7
shikimic acid		146022.325		988494.19		611356.563	200483.217		108278.175	2111922.29	1199465.87	1133360.11
alpha-D-glucosamine 1-phosphate				15068.398	20646.95	16456.466				42421.327	25997.346	27423.669
unknown				30375.106			25842.823		31774.775			
citric acid		90266.802	75313.037				31234.623	32044.054	35427.373	42067.435	36634.797	29278.977
unknown				59021.343	98074.913	64082.907						
Adipamide 5				100661.763	167724.566	94199.01			18644.575			
N-Acetyl-L-phenylalanine 2	45237.598	56021.128	53923.103	164530.019	184537.481	149050.173	50863.97	37729.208	57217.614	136475.849	89451.417	90665.843
unknown	14972.734	20886.324			59426.006	44840.186					30223.333	
ornithine 1	33140.803	891984.408	923960.993	477270.468	825489.721	676404.553	69610.904	69833.619	101484.81	1596409.58	1181215.85	1107940.43
unknown	8719.924	10196.961	10042.251	26474.23	29132.417	19260.583	4809.975	4031.754	7819.236	19844.956	12203.07	12053.459
Analyte 406	73502.544	72584.032	70596.157	176115.919	158232.679	138356.665	56498.447	36152.192	56761.359	113296.498	65725.588	66711.12
unknown	24727.894	28391.666	31419.586	184694.874	100629.386	191511.684	31487.2	24025.401	32972.388	65868.089	53285.618	57296.075
Analyte 408		47538.532	47177.824	92123.718	125134.848	107662.21	24445.836	15175.073	34865.872	97953.761	65018.235	66348.544
Analyte 409	701.261			16979.043	20539.228	15512.853				30954.009	18710.771	17855.462
Analyte 410	1081026.32	1384541.18	1304408.85	1603198.13	1811452.01	1429108.08	527095.697	435277.41	538726.845	1062929.22	639700.824	661839.112
O-phosphonothreonine 4		4427.26	2112.219							16521.425	12122.891	
beta-Mannosylglycerate 2	164155.684	165326.158	168851.95	390264.095	344508.268	281916.098	103113.856	67142.795	90507.913	254995.018	148342.323	143046.882
unknown			126180.246					86026.605	130659.63	240593.166	136625.726	151476.847
N-Acetylisatin 2		8179.782	7579.49	28670.031	33741.381	28274.256			3187.6	9471.263	5313.887	7604.338
unknown										28968.055	14926.9	19282.939
Methyl-beta-D-galactopyranoside				76668.456	77130.589	63468.36						
quinic acid	36494.428	43583.221	43456.694	44392.538	43983.773	36413.685			86.685	7342.842	4223.156	
Myristic Acid	119311.369	108033.67	111896.988	275316.931	318807.634	261496.6	47523.63	39731.381	44509.897	256408.527	190402.49	176535.942
Atrazine-2-hydroxy 3		140491.499	131510.398							159540.873	94557.642	101450.372
Tagatose 2	232954.376	519301.36	498737.446	551716.319	649212.527	470113.4	258606.236	168042.17	256476.54	446650.943	255187.315	271862.235
unknown	33929.885	51292.351	46931.605	82343.671	111618.399	69561.879	23647.439		21899.418	40382.448	26597.157	27700.803
fructose 1	9594006.59	10068529.24	8754981.19	17279211.73	19076079.87	13592043.49	458171.286	953970.79	1030372.489	5494148.62	3377290.05	3191051.55
Dehydroascorbic Acid 1	56349.643	58445.989	49086.51						81304.953	84574.601	39754.274	44719.105
panthenol 1		113648.228	114430.517	115645.928	161127.454	134809.587	47885.988	38140.259	61016.483	146530.919	90883.764	98428.133
Benzylsuccinic acid	271369.009	363427.861	365404.543	660311.379	783185.064	643617.444	69397.965	56614.642	50062.344	332080.799	207645.402	246692.745
galactose 1	16115.894		15992.065	62698.643	58834.532	81122.565	11810.901		11602.356	24713.625	15895.671	17007.807
sorbose 2					37749.288	28532.76				14843.877		
Gluconic lactone 1	33097.073	36045.702	35251.543	83598.603	85337.987	75625.401	19176.005	14596.725	20607.757	66405.679	43560.3	41426.728
Allantoic acid 1	15969.836			100771.231	102502.628	92411.646				42069.997	23778.303	
unknown		186635.915	220241.298	220893.844	449956.136	434824.714	182554.311	199166.532	366591.563	481170.574	368893.259	405829.792
unknown	14034.957		14698.888		21217.809		6825.772			12775.523	8406.493	7545.341
glucose 1	2462623.663	2568227.739	2538706.238	5131229.26	5216353.61	4650389.302	409774.535	375808.869	396325.917	1449674.036	953202.195	884980.006
D-Altrose 1		401788.782	415469.977	261261.152	434142.857	376005.531	32263.614	18509.956	31309.362	109391.839	52807.259	57719.025
urocanic acid 2					86122.307	76673.572	26975.977	27850.756	53185.937	64896.109	27012.032	22215.02
pyridoxine	1065.717	13263.537			27737.696	20572.892		5794.373	7236.097	13921.357	7917.027	10181.965
unknown				285806.421	280823.993	227004.786						
putrescine 1	70867.618	55830.99	51402.584				61736.894	44823.01	56177.639	115614.579	66798.195	65770.386
N-epsilon-Acetyl-L-lysine 2				32017.348	37638.775		25604.712			44551.027	24998.787	30633.809
Analyte 441		27788.692	48354.395					7923.214	16313.077	9993.59	14923.214	15479.203
arginine								73038.414	106901.798		107231.07	139728.555
mannose 2	380767.64	393693.042	398147.901	1102277.66	1136562.89	1006971.4	64233.046	58019.986	62793.484	232137.985	150219.597	136705.578
2-amino-3-(4-hydroxyphenyl)propanoic acid 1		41382.941	38711.746				21304.218		20059.729	43648.768	36594.186	29166.743
Analyte 445				1757574.16	2470960.35	1489600.2	152305.817					
Methyl Palmitoleate	155598.992	242139.639	216980.237	1253249.31	1414767.84	1321752.77	711094.635	606158.283	858406.985	1113943	608242.512	724257.733
Analyte 447				64573.435							27234.54	27226.212
unknown	8646.284	10500.188	12841.782	46707.305	58981.484	48021.193				35735.059		22142.734
mannitol	160859.88	153725.843	146614.756	282131.997	478812.289	282827.603	409281.675	288919.45	370314.94	118618.211	68637.974	65097.354
Analyte 450				23469.738	22589.274	26040.655						
sorbitol	2417.861	61643.352	74112.64	99064.219	140587.932	112741.391	15535.984	9302.444	21804.468	40246.586	26733.351	35107.232
unknown	129808.696	126059.335	124177.278	181258.72	845265.218		50360.69	32664.187	46097.829	100938.491	57134.049	61147.356
ascorbate			21754.191	116073.57	117104.261						33730.593	
unknown	21672.83	23533.049								57676.051		34933.419
carbamoyl-aspartic acid 1				34286.119	31250.698	44316.784						
4-Pyridoxic acid		16296.088	14042.184						7352.6	3301.351	4893.877	4663.046
pentadecanoic acid	73381.896	156186.706		264293.621	315124.051	269224.63	46729.549		48148.737	238209.414	171469.321	160473.378
"Hydantoin, 5-(4-hydroxybutyl)- 2"		524819.739	671552.3	193935.942	387236.453	363186.817	90759.212	81107.841	160988.516	1195676.25	1066528.84	1046232.5
unknown	1287.88	27854.646	27315.033		25760.597		18794.718	17207.01	31338.792	39885.859		16008.922
unknown			5097.708	46459.611	43259.379	43840.864				14848.282	11339.229	11529.506
unknown					55017.993	54676.039					14713.362	
conduritol b epoxide 2	69450.925	64564.382	53140.124	1528191.33	1217075.38	1242794.78	35548.069	23915.898	39474.144	174030.363	104913.622	102942.858
Analyte 463		44323.932	44911.161	87147.608	106789.519	94666.649	23398.456	19169.362	30318.656	66790.416	38514.559	40629.369
1-Hexadecanol	2165.166	1030.62		28350.659	20908.782	21550.937	1597.916			18882.611	7821.475	
Analyte 465				39284.329	47392.013	37014.646						
caffeic acid	7074.551	6142.727	6997.44	19411.39	25567.689	17340.819	5010.296	2967.547	5088.163	7150.665	4480.762	5340.986
Analyte 467	31918.02	29599.17	33581.78	322041.686	172638.744	272128.649	35851.588	27125.053	35509.682	74378.148	63397.558	64790.871
Analyte 468	205080.912	237294.227	232261.01	16742977.4	10130126.9	15761762	146146.513		197192.418	3668532.34	4104064.14	2159828.61
Analyte 469							10945.11	9592.603	11559.734			
unknown				9606.477	17342.105	15641.892						
unknown	33271.443	58809.47	43596.602	42155.916	67847.709	60811.531	35993.43	13366.487	57834.624	53087.442		38009.971
unknown		48221.785	52387.735	16399.755	116979.15	103018.667		11024.342	16273.8	31045.309	38803.018	40683.908
Analyte 474		20980.337		36943.258		34116.457			12467.18	26142.171		
Galactonic acid	5742.376	14132.211	16678.087	108808.146	101275.012	103908.632	7115.047	2863.539	7054.068	11228.216	4911.066	8045.82
gluconic acid 1	251867.921	449864.901	385501.16	1283708.74	1290853.08	1054569.67	366441.4	198025.728	258721.449	471803.943	367624.371	438357.96
Analyte 477				706919.695	834364.011	682147.651				596266.552	371695.457	384055.996
Analyte 478								2178.484			19765.628	20033.42
Analyte 479	15744.517	17821.14	17168.006	107675.232	121977.227	102882.828	19027.902	11366.286	18259.903	55685.942	41028.086	38254.795
Analyte 480	9582.456	8456.882	4698.126	49571.012	43451.416	37896.725	10632.612	7718.431	13078.381	11173.929	6391.612	
Analyte 481	342711.277	545184.617	519238.5	705711.873	861204.927	685218.215	423275.993	349432.334	459924.227	699259.201	419437.287	432436.499
palmitoleic acid	13504.051	78606.475	94785.825	80143.174	136123.816	130040.409	25869.975	23707.283	41503.649	312181.117	243711.507	252458.726
unknown				27676.183	28987.47	31746.647						
Analyte 484	10296.338									13604.381	12666.419	
N-Carbamylglutamate 4			12708.964		15565.383	15578.213		15912.296	33416.47	45246.984	38727.61	43518.739
mucic acid	8777.405	12108.769	12339.341		10772.483	9400.49			9837.192	16625.898	10714.86	10335.902
Glucosaminic acid				63944.414		59689.143		962.192			4978.276	2745.85
Glucoheptonic acid 2				143402.501	173770.593	142543.322				98482.856		
palmitic acid	5511699.46	4002328.47	3858829.23	7370068.54	9113188.02	7398682.21	2743178.78	2337900.74	2675150	7585793.5	5262170.97	5358185.12
Analyte 490		401908.91	464546.245	448538.759	806252.349	801052.659	105352.945	137118.002	205502.075	1054035.67	779552.223	845360.207
unknown		31905.145		94174.586		107973.097					91903.396	94422.014
unknown	1137464.05	2724236.89	2563557.24	3610903.9	4375047.43	3815203.53	1764519.23	1371451.05	1971433.65	6961425.07	4748231.84	4795063.26
Carbobenzyloxy-L-leucine							55697.005	39465.093	61386.107	75626.912	47566.397	49275.62
unknown				138037.071	136736.398	122541.138						
unknown	69058.27	73905.958	69013.888	101541.426	297219.456	332140.331	41233.109	32488.743	47901.116	146198.429	38788.634	42610.759
cis-sinapinic acid			1331.524	11950.452	44129.423	37002.585	536.813		4102.197	17556.154	727.762	640.16
unknown	14391.872	21115.224						5741.036	9191.515	44884.764	31590.711	35316.49
unknown				250251.711	263147.897	226866.378						
unknown	13836.506	15032.823	14716.14	48479.187	49999.057	48995.888			6940.948	14588.947	10622.388	11762.203
unknown	43979.636	39894.937	43898.885	113137.791	127050.72	104228.042				95744.618	55329.788	58427.89
Analyte 502		97764.35	144908.719	22984.476	107667.973	87064.489	46666.204		90321.822	269893.35	228538.329	37903.148
Analyte 503		28281.258	53780.686		54601.983	55002.935			8974.981	223406.694	198781.213	191275.355
myo-inositol	102455.889	98018.262	86465.911	335423.17	333275.895	322379.518	60635.462	54462.56	63893.893	246112.087	144098.049	147427.627
"N,N-dimethylarginine"	80175.09	114603.188	106940.377	152978.64	191196.139	158072.753	54189.539	45902.77	53806.748	103852.766	60197.434	60167.257
Linoleic acid methyl ester	1819454.54	2614691.27	1845702.06	7867004.28	8166446.19	9594124.21	5931979.98	5914088.61	7593165.84	7958908.93	4938748.83	5110595.82
unknown				156871.665			37538.711			25965.166	60858.558	
"trans-3,5-Dimethoxy-4-hydroxycinnamaldehyde 1"		54610.004	61889.574									81447.764
N-Acetyl-beta-D-mannosamine 4	171306.777	162656.905	146120.421							89600.75		
Analyte 510							119940.515			558651.929	343109.119	296149.239
unknown	107120.074			441115.64	382945.75	398539.13	118440.387	83678.449	113158.762	263863.458		126221.277
unknown		103782.749	92540.858			46140.476				52630.193	126263.029	15630.301
unknown	23031.728	26230.461	23542.505	228411.542	238541.784	246102.69	70497.142	40282.509	61099.033	114003.408	71717.435	79786.299
unknown	13415.583			76312.085	65281.44	77408.425		9169.116	13516.049			
unknown	7.829	111881.494	112118.51	171169.975	264133.41	241576.279		24467.01	52459.978	202985.348	124041.59	134561.785
unknown	59888.365	209864.053	201124.116	98874.034	124753.387	106954.67	130279.158	113424.174	153309.056	427528.701	288203.019	262198.352
unknown	19594.808	18895.536	18226.566					9153.228				
Analyte 518	132619.538	201571.212	162072.874	681884.744	782498.873	772078.015	484392.153	466124.747	571335.477	624385.708	382766.013	429407.063
Analyte 519	12084.745		17631.101	72812.05	83565.701	89193.544	44891.597	45214.462	63826.859	58293.423	33950.851	
5-Methoxypsoralen	95898.597	260576.991	257693.067	139545.054	261138.928		190669.768	153697.074	219796.538	395164.731	270379.004	260911.675
Analyte 521	1232313.87	1570810.08	1488079.11	2291140.23	2613811.28	2368294.5	1258915.46	997928.873	1353046.17	1409985.88	884978.974	893790.414
Analyte 523										42079.595		34555.848
Analyte 524		19826.075	17063.973	62087.537	71241.708	61678.435	15709.391	11094.826	16054.633		21361.729	
Isoxanthopterin				41403.225	50413.055	40591.161						
Analyte 526			32320.401		66745.919		5566.441			85672.506	67042.314	69948.016
Analyte 527	24409.053	25486.173	22741.216	49327.862	66326.767	61018.119		14228.558		63634.495	38282.115	35704.473
unknown		10260.056	9946.974	16421.8	23547.219	27677.081	8373.261	6592.377	10040.667	21294.22	10734.64	10093.24
noradrenaline			37812.054							123867.331	105500.82	104656.464
d-Glucoheptose 2	87769.832	71951.033	65086.934	623880.702	381380.434	455849.288	52854.453	40093.439	49582.962	137310.18	68243.891	72131.087
unknown			7332.082	77227.08	68720.822	65612.475				53937.783	26849.842	28006.765
Octadecanol	3720.812			10407.116		8166.531						
unknown				37045.635	25218.895	29502.558						
Analyte 534				113513.824	166676.051	144152.199				17726.78	25098.892	25691.527
unknown		23240.178	20237.779	89364.296	74272.528	71675.083	19238.618	15209.425	18838.547	42807.395	22292.905	25112.345
unknown				115562.567	105946.158	91164.157						
Analyte 537				15724.369	35627.407	24993.293				26478.933	15888.147	16404.292
"Fructose 2,6-biphosphate degr prod 1"				16292.264	36153.922	29395.491				18640.573	13718.402	9960.837
Analyte 539						17233.201				17958.61	11847.944	
Analyte 540	37760.779	40229.186	36932.968				35996.435	24129.758	34608.369			
Analyte 541		19299.501	10393.81	30408.905				21106.584	15572.147	38004.749		
unknown		5063.46	6399.87									17542.668
L-kynurenine 1			7928.952	5181.837	5162.679	40074.17	1419.869		2182.238	16231.079		15389.595
Analyte 544	1105.423			44343.569	100259.81	75619.061						2686.323
Thioctamide 1	11481.249	11758.195	12473.267	22501.642			16183.524	12410.826	18259.905	27276.96		
unknown	109588.529	138716.188	86229.862	450686.308	481866.211	470919.082	200345.986	152240.229	224384.69	670594.723	458902.865	403710.244
"2,4,6-Trihydroxybenzophenone"					7619.421	8313.241			2846.423	5698.949	4049.677	5515.823
3-Hydroxypalmitic acid	14462.486	19132.521	17921.768	62224.566	81347.573	65893.935				10540.676		5390.093
spermidine 2	4742852.16	6715429.28	5925741.94	11304377.4	13269863.6	11296102.3	9912620.84	7575956.62	10547629	13437374.8	7717975.53	8006024.75
5-Hydroxyindole-3-acetic acid 1	24158.528	38771.647	35776.429	28282.521	747.933	29357.033	27997.296		32389.688		23315.156	23111.005
unknown							19322.401	12726.569	16670.571			
oleic acid	160957.154	205194.03	159503.867	270033.579	327371.716	231609.936	109624.175	72734.93	116398.462	330908.334	165807.339	175829.745
Elaidic acid		5548.365	5346.358	28443.254	32603.986	25073.246		4738.918	4342.909	22987.663	9443.641	
Analyte 554	130773.848	129538.251	121887.233	424104.728	436360.354	400653.184	160273.3	123575.22	166765.23	43692.023	25876.31	24964.571
Analyte 555							22257.017	24314.565	45358.437	77025.877	49970.196	57513.182
Analyte 556		13217.443	12603.771	39672.048	54872.888	54056.239				49612.909	32317.673	32673.314
Analyte 557							13655.118	16641.11	25477.52			
Analyte 558		31676.526		42966.451	54161.7						25696.915	
stearic acid	3571816.35	2631070.52	2687784.33	4591819.31	5193996.37	4503442.09	2261823.5	2227148.42	2220671.85	4144111.48	2478335.15	2800959.5
Analyte 560				37326.664	41215.776	43096.076	3318.581	2726.34		9127.987	7201.624	5308.833
Analyte 561				35763.47	161268.911	198875.483						
unknown	39822.555	25983.119	26614.217	331059.823	165603.202	268493.919	29179.388	26628.687	25422.809	62201.747	49065.443	44797.552
pyridoxal phosphate 1	13405.286	11993.449					49380.417	42352.269	56934.691	107642.2	59655.227	60922.985
Analyte 564		28151.178	29595.798	46273.144	61071.655	61522.479	13449.353	11533.745	13101.066	27496.381	15500.131	18877.341
Analyte 565				54089.327	54546.49	55789.05						
Analyte 566	46939.346	60528.608	60134.739	106662.502	148751.397	132034.703	22511.81		28766.649	53104.604	28662.166	30682.997
unknown		44809.516	45718.087	41035.454	57766.384	47881.977				27713.456		14743.796
Analyte 568	25829.766	34379.222	38851.323	87138.052		84298.427	17556.452	17554.237	14901.131		34505.194	40165.225
Analyte 569	66956.759	128398.035	115211.412	392992.539	483509.83	433645.568	93349.283	72131.156	103278.123	333222.588	161569.008	188594.969
Analyte 570	36539.178	58439.014	56428.739	97883.02	103081.325	88626.881	39841.315	38220.003	43915.922	95677.543	40344.923	51360.228
Analyte 571		30800.545	32220.378	59655.304	111832.072	103658.626	7329.883	6863.824	16009.092	50529.464	36523.685	50402.003
Analyte 572	145873.547	182548.582	161053.382	193775.732	93736.856	85718.46	133497.468	108047.296	140134.278	45105.364	26680.223	31800.296
fructose-6-phosphate					11744.286	11068.883	1842.419	2550.474	3919.317	8416.512	3739.072	5931.882
Methyl yellow							25316.856	21802.935	31633.773	62066.807	30183.981	30379.37
Analyte 575				107568.137	103125.901	59694.916						
Phenyl beta-D-glucopyranoside										50117.365	20837.024	33396.223
glucose-6-phosphate 1	62594.279	427537.213	400713.832	632551.512	903322.047	846344.199	151884.846	131404.786	216653.574	1315706.39	760016.284	800103.012
Analyte 579				45559.331	47119.444					25586.89		
unknown	12712.064		2023.037	35876.693	17327.115		5791.446			13697.629	4068.939	
Analyte 581	156984.286	210673.848	178599.394	532581.099	609910.507	603569.75	340497.715	320342.101	391288.024	472666.657	239809.203	256703.829
unknown	29745.462	25462.692		18862.182	24705.133	21835.413	11584.177	10781.52	10345.389	24162.665	12168.785	
Analyte 583	11169.967							3493.458		5287.913		1942.868
Analyte 584				69795.827	69680.773	75540.347	27696.501	23876.231	40829.954	146255.147	75804.946	81909.013
Analyte 585	37385.518	17247.698	11709.371		47342.533	37619.293				30563.493		
Analyte 586		27641.565	24663.797	45754.613	54061.417	60946.79	26088.943		29534.616	52238.811	26634.174	27239.28
indole-3-acetamide 3			17203.863	31797.269	36681.004	29180.444	8753.053	7974.602	9255	17597.598	10224.279	10509.899
Analyte 588							46972.407	24797.699	48684.723			8139.405
Analyte 589		22994.732	12665.561	71700.376	109146.474	76227.324		3825.832	10273.831	58113.288	49525.047	37706.488
Analyte 590	220762.104	118814.643		191717.059	160886.193	234733.892	101833.372	119200.172	123276.35	251892.855	85374.535	
Analyte 591					38171.795		8079.073	1771.836	7814.715	31374.598	13142.099	
Analyte 592	225124.757	199788.948	185109.653	535385.216	577311.837	478252.839	139003.185	101436.008	138813.508	540120.168	245355.84	266147.619
Analyte 593			27389.829	347257.402	700624.695	731958.175				68847.921		
Analyte 595		21633.765						17881.528	24570.693	28727.189	15603.16	15021.107
Analyte 596	40733.831	36745.594	32114.335	58463.933	64129.755	58415.95	24327.454	19673.277	25423.129	53888.293	22959.384	27582.642
Analyte 597				18435.875	18681.581	18947.326	8917.425	5128.305	8500.653	13175.157	7809.716	7923.407
Analyte 598	24442.099		13051.997		34963.434	28065.427	12618.385		10626.625	23341.316	8730.052	956.364
Analyte 599	25611814.7	20221212.7	4780995.11	26593260.9	21214916.2	21192162.6	7189832.66	10994058.7	4038033.58	14023833.2	4928382.16	1353958.49
Analyte 600		134246.214	64455.046	473279.471	267867.34	352729.795	142519.335	71809.36	66390.378	127127.526	58177.034	61405.634
Analyte 601		13787.287	10382.445	55262.158	61260.329	60328.779	12602.43	12361.395	13327.128	45194.595	20969.302	25625.309
2-Indanone		284400.663	245665.924	236671.603	409992.991	224156.753	156540.5	204461.076	161498.919	315309.333	113543.734	126049.917
