B8011	B8012	B8013	LF11	LF12	LF13
xylose 2	0.74725442122917	0.734126360819458	0.711196988553886	0.309734137904522	0.280667055904616	0.286201508868496
sucrose	1.2405522500454	1.03705293632222	1.24498762066889	1.78273587101369	1.72399353889291	1.94196025186928
succinic acid	1.74230148507041	1.99740606209655	2.05117744902422	0.563693627022852	0.556962249245338	0.529941744224428
stearic acid	4.68937563430855	2.79806245724441	3.04430058781838	1.93151667986092	2.02943797146674	1.94861934549539
spermidine 2	6.22680820536354	7.1416521943501	6.71175118846014	4.75510729614115	5.18490255818649	4.88777318117463
saccharopine 3	2.67038355783754	3.24525289297909	3.2179745655773	2.0612360761072	2.25189714653354	2.24821041777573
ribose	1.10964275656554	1.02607775872072	0.989674010387745	0.436120700529425	0.401256622254369	0.363710867388622
palmitic acid	7.23621446868498	4.25635305034221	4.37067660602804	3.10016778877308	3.56077449644113	3.20137685740256
O-acetylserine 2	5.25768828374687	7.12764398664229	6.84886372756389	2.76628919995507	2.69122785299515	2.48318625032347
N-alpha-Acetyl-L-ornithine 3	0.111002847622995	0.49485567183705	0.513127797683571	0.725385711201597	0.0433236121020758	0.950341180004307
Linoleic acid methyl ester	2.38873025697642	2.78064362937399	2.09052184860219	3.30920033248374	3.19085629047636	4.15133483790212
lactic acid	11.0538195616987	10.977162354064	11.2371574542706	31.0550400285708	30.8919176649507	32.5782521529273
Hydantoin, 5-(4-hydroxybutyl)- 2	0.785348032976924	0.55812962721984	0.760629131891987	0.0815777977111952	0.151303987463953	0.157149319007918
glycolic acid	2.68090872780048	3.13985056773519	3.0372064811429	1.46429247024979	1.65844300997882	1.64675622350527
glycine 2	1.70435395186464	2.10576299191071	2.26265067453641	0.897890663628926	0.888464601531496	0.884957784518285
glycerol	5.38875298883672	5.21035810939572	4.94808114297986	6.43247882852124	5.69398910924872	6.07620023625143
glucose 1	3.23313582506667	2.73123109529941	2.87544830378619	2.15841570296467	2.03817356320786	2.01220274999962
fructose 1	12.595804579522	10.707570721484	9.91626972654307	7.26837957204885	7.45355176960016	5.88121671382006
Ethanolamine	1.82232601372533	1.6067833928347	1.85044763855143	0.968126213026571	0.957735596104312	0.971996051813078
Erythrose 1	0.422943187485075	0.415686256100777	0.399393328667809	1.71107789205099	1.69733477774399	1.52447401242825
Dihydroxyacetone	1.31288262743647e-09	1.06346919855436e-09	1.13264317893333e-09	0.927794099245235	0.947861908506998	0.919412145463513
conduritol b epoxide 2	0.0911809128918933	0.0686622315806977	0.0601887989762711	0.642822995557689	0.475544997408096	0.53775176906709
4-hydroxybutyrate	0.26698937475869	0.310037522916637	0.391451815743079	3.52988323625606	3.49605303688854	3.36644599471972
3-Hydroxypropionic acid 1	2.84999342408831	4.02662288072756	4.25396241558172	0.856556056608779	0.799152674176843	0.880447045925495
2-Deoxyerythritol	4.28574483736516	4.64164339996498	4.89704254237236	3.86330522129694	3.58563251890561	3.3821501777275
